# Fbr_dyn timestep cost, layout=block L=250 U=0.1 dt=0.1 tol=1e-10 epsilon_M=0, one thread
# setup: to_star 0.0152826 s, Fbr_dyn constructor 0.00636526 s
# times in seconds; total = buildK+plan+applyK+applyfb+tdvp
# t n_active chi ngates buildK plan applyK applyfb tdvp total
0.1 8 3 250 0.00270416 0.000389252 0.00152975 0.0439449 0.044523 0.0930911
0.2 8 4 260 0.00265271 0.000366842 0.00153024 0.046181 0.0498071 0.100538
0.3 8 4 260 0.00277958 0.000842272 0.00157083 0.0463454 0.0516055 0.103144
0.4 8 4 260 0.00257962 0.000308871 0.00147814 0.00694883 0.0518791 0.0631946
0.5 8 4 260 0.00223747 0.000257634 0.00147693 0.00672989 0.0511617 0.0618636
0.6 8 4 260 0.00309414 0.000276218 0.00150355 0.00672149 0.051517 0.0631124
0.7 8 4 260 0.00221355 0.000277272 0.00148015 0.00686213 0.051757 0.0625902
0.8 8 4 260 0.00218903 0.000258293 0.00147628 0.00671213 0.0515271 0.0621629
0.9 8 4 260 0.00218902 0.000264559 0.00148206 0.00673101 0.0516344 0.062301
1 8 4 260 0.00375953 0.000265287 0.00148807 0.00672585 0.0516992 0.0639379
1.1 8 4 260 0.00223878 0.000292702 0.0014931 0.00690086 0.05108 0.0620054
1.2 8 4 260 0.00220204 0.000328526 0.00147639 0.00682709 0.0513892 0.0622232
1.3 8 4 260 0.00219281 0.000271981 0.00148299 0.00667609 0.0515876 0.0622115
1.4 8 4 260 0.00260247 0.000262034 0.00147862 0.00669627 0.0519893 0.0630287
1.5 8 4 260 0.00220994 0.000265649 0.00150542 0.0068328 0.0516069 0.0624207
1.6 8 4 260 0.00218284 0.000810718 0.00156426 0.00675264 0.0521711 0.0634815
1.7 8 4 260 0.00219955 0.000315512 0.00147938 0.00704026 0.0520286 0.0630633
1.8 8 4 260 0.00224051 0.000254257 0.00148004 0.00674561 0.0521886 0.062909
1.9 8 4 260 0.00242175 0.000271548 0.00147663 0.00672916 0.0525765 0.0634756
2 8 4 260 0.00222316 0.000262313 0.0015568 0.00688861 0.0519675 0.0628984
2.1 8 4 260 0.00220428 0.000867284 0.0015506 0.00718367 0.0519997 0.0638055
2.2 8 4 260 0.00220919 0.000312621 0.00146926 0.00691792 0.0518653 0.0627743
2.3 8 4 260 0.00222379 0.00027841 0.00148326 0.00670177 0.0524422 0.0631295
2.4 8 4 260 0.00267019 0.000260735 0.00146683 0.00675364 0.0525257 0.0636771
2.5 8 4 260 0.00234274 0.000264325 0.00150083 0.00680801 0.0519639 0.0628798
2.6 8 4 260 0.00222796 0.000312342 0.00156284 0.0282336 0.0518174 0.0841541
2.7 8 4 260 0.00222073 0.000277618 0.00155277 0.0277096 0.0523422 0.0841029
2.8 8 4 260 0.00221372 0.000391565 0.00174367 0.0279138 0.0521322 0.0843949
2.9 8 4 260 0.00242948 0.000280689 0.00152681 0.0462787 0.0518026 0.102318
3 8 4 260 0.00301687 0.000292129 0.00154498 0.0277737 0.0515785 0.0842061
3.1 10 5 260 0.0025581 0.000291422 0.00152555 0.0279858 0.0520511 0.084412
3.2 10 5 268 0.00240323 0.000446365 0.0015857 0.0473829 0.0528589 0.104677
3.3 10 6 268 0.00223994 0.000373951 0.00163211 0.0478985 0.0533887 0.105533
3.4 10 6 268 0.00224955 0.000352217 0.00158223 0.0476857 0.0531121 0.104982
3.5 10 6 268 0.00339739 0.000475577 0.00158148 0.0477772 0.0536771 0.106909
3.6 10 6 268 0.00221864 0.000356742 0.00163518 0.0478649 0.0532011 0.105277
3.7 10 6 268 0.00239216 0.000402751 0.00159387 0.0483607 0.0531116 0.105861
3.8 10 6 268 0.00227001 0.000553341 0.0015664 0.0475322 0.0536029 0.105525
3.9 10 7 268 0.00223201 0.000376871 0.00163136 0.0480722 0.0527939 0.105106
4 12 7 268 0.00237853 0.000345949 0.00155381 0.0487093 0.0531799 0.106168
4.1 12 7 278 0.00226284 0.000425629 0.00157612 0.0304849 0.054428 0.0891775
4.2 12 7 278 0.00224079 0.000412326 0.00167568 0.030402 0.0540487 0.0887795
4.3 12 8 278 0.00240751 0.00043187 0.00164673 0.0308012 0.0543866 0.089674
4.4 12 8 278 0.00222399 0.000401369 0.00163377 0.0305117 0.0549254 0.0896962
4.5 12 8 278 0.00221772 0.00043388 0.00191844 0.0315085 0.0547693 0.0908479
4.6 12 8 278 0.00226014 0.000419624 0.00159382 0.0100363 0.0554471 0.069757
4.7 13 8 278 0.00222933 0.000376543 0.0015903 0.009787 0.057322 0.0713052
4.8 12 8 284 0.00248115 0.00043697 0.00169688 0.0317257 0.0561843 0.092525
4.9 12 8 278 0.00225375 0.000406683 0.00158958 0.00986693 0.0558784 0.0699954
5 12 8 278 0.0022277 0.000376269 0.00157949 0.00961939 0.0565623 0.0703652
5.1 12 8 278 0.00220007 0.000377212 0.00158 0.0096673 0.0562526 0.0700772
5.2 12 8 278 0.00219825 0.000378256 0.00163465 0.00972729 0.0564346 0.070373
5.3 12 8 278 0.00302656 0.000443301 0.00158599 0.00995769 0.0568655 0.0718791
5.4 14 8 278 0.00222356 0.000384022 0.00157335 0.00985865 0.057966 0.0720056
5.5 15 8 290 0.00233567 0.000474745 0.00171336 0.052851 0.0608856 0.11826
5.6 14 8 297 0.00244724 0.000516522 0.0017399 0.0332293 0.0614928 0.0994257
5.7 14 8 290 0.00240213 0.000467073 0.00166781 0.0517372 0.0612363 0.11751
5.8 12 8 290 0.00239128 0.000493736 0.00169017 0.0118851 0.060941 0.0774013
5.9 12 8 278 0.00219703 0.000524446 0.00181711 0.0510599 0.060725 0.116324
6 13 8 278 0.00222696 0.00062576 0.00190499 0.0520562 0.060474 0.117288
# measure: correlator(0,0) 0.000491264 s, O(L^2) version 0.000642643 s, n0=0.888112067281 |diff|=0
