# Fbr_dyn timestep cost, layout=ns L=250 U=0.2 dt=0.1 tol=1e-10 epsilon_M=0, one thread
# setup: to_star 0.0217169 s, Fbr_dyn constructor 0.0056945 s
# times in seconds; total = buildK+plan+applyK+applyfb+tdvp
# t n_active chi ngates buildK plan applyK applyfb tdvp total
0.1 4 3 250 0.00164538 0.000290859 0.00151545 0.00243311 0.0113003 0.0171851
0.2 4 4 255 0.00165325 0.000186937 0.00146996 0.00277882 0.0135016 0.0195905
0.3 4 4 255 0.00159446 0.000226641 0.00151824 0.0211765 0.0143894 0.0389053
0.4 4 4 255 0.00143376 0.000225319 0.00145988 0.00288175 0.0142782 0.0202789
0.5 4 4 255 0.00151542 0.00020303 0.00148107 0.00299613 0.014059 0.0202547
0.6 4 4 255 0.00180059 0.000194247 0.0014591 0.00281489 0.0142768 0.0205456
0.7 4 4 255 0.0013948 0.000188332 0.00144812 0.00282058 0.0146041 0.0204559
0.8 4 4 255 0.00140042 0.000212388 0.00145274 0.00276524 0.0143326 0.0201634
0.9 4 4 255 0.00142958 0.000202942 0.00145613 0.00296356 0.0142145 0.0202668
1 4 4 255 0.00198866 0.000205414 0.0014547 0.00284752 0.0145689 0.0210652
1.1 4 4 255 0.00139952 0.000191239 0.00144641 0.00276776 0.0146564 0.0204613
1.2 4 4 255 0.00140075 0.000209414 0.00144911 0.00282408 0.0145099 0.0203932
1.3 6 4 255 0.00142364 0.000200987 0.00144614 0.00301161 0.0145472 0.0206296
1.4 6 4 264 0.00184614 0.000261895 0.00153117 0.00397694 0.0155033 0.0231195
1.5 6 5 264 0.00142242 0.000254645 0.00149372 0.00397096 0.015507 0.0226488
1.6 6 5 264 0.00144914 0.000361845 0.0015238 0.00442793 0.015555 0.0233177
1.7 6 5 264 0.00146901 0.000257749 0.00151128 0.00396942 0.0157753 0.0229828
1.8 6 5 264 0.00139558 0.000359837 0.00158926 0.0229847 0.015833 0.0421623
1.9 6 5 264 0.00146594 0.000287498 0.00151554 0.00400231 0.0157765 0.0230477
2 6 6 264 0.00146543 0.000268407 0.00149919 0.00405173 0.0154609 0.0227457
2.1 6 6 264 0.0014832 0.000299062 0.00163984 0.00440296 0.0155335 0.0233586
2.2 6 6 264 0.00141482 0.000250667 0.00151841 0.00399498 0.0158636 0.0230425
2.3 6 6 264 0.00145306 0.000290394 0.00150661 0.00414642 0.015522 0.0229184
2.4 6 6 264 0.00167179 0.000282607 0.00155993 0.0226984 0.0155773 0.0417901
2.5 6 6 264 0.00140638 0.000243683 0.00149936 0.00408109 0.0158195 0.0230501
2.6 6 6 264 0.00156607 0.000308634 0.00159156 0.0228146 0.0164874 0.0427683
2.7 6 6 264 0.00140043 0.000282366 0.0014957 0.0042398 0.0169168 0.0243351
2.8 6 7 264 0.00273572 0.000264136 0.00152088 0.00428209 0.0172056 0.0260085
2.9 6 7 264 0.00140236 0.000311584 0.00150372 0.00441817 0.0174866 0.0251224
