# Fbr_dyn timestep cost, layout=sym L=2000 U=0.1 dt=0.1 tol=1e-10 epsilon_M=0, one thread
# setup: to_star 3.17486 s, Fbr_dyn constructor 0.452703 s
# times in seconds; total = buildK+plan+applyK+applyfb+tdvp
# t n_active chi ngates buildK plan applyK applyfb tdvp total
0.1 8 3 2000 0.232358 0.0300022 0.139555 0.208078 0.33189 0.941883
0.2 8 4 2010 0.236573 0.0287617 0.136934 0.18686 0.332993 0.922121
0.3 8 4 2010 0.236559 0.0293506 0.136898 0.504306 0.33494 1.24205
0.4 8 4 2010 0.238333 0.0296071 0.1379 0.189311 0.336696 0.931847
0.5 8 4 2010 0.23727 0.027964 0.137633 0.188951 0.336704 0.928523
0.6 8 4 2010 0.235999 0.0279905 0.140029 0.186437 0.340048 0.930503
0.7 8 4 2010 0.236597 0.0303219 0.141735 0.188712 0.337756 0.935122
0.8 8 4 2010 0.235448 0.0280408 0.133627 0.179809 0.331067 0.907992
0.9 8 4 2010 0.229885 0.0276063 0.132952 0.180955 0.331433 0.902832
1 8 4 2010 0.231149 0.0274337 0.132612 0.17995 0.331554 0.902699
1.1 8 4 2010 0.229511 0.0276909 0.131974 0.178482 0.330907 0.898565
1.2 8 4 2010 0.229232 0.0275901 0.132634 0.180689 0.331622 0.901767
1.3 8 4 2010 0.229854 0.027697 0.132164 0.179494 0.331689 0.900898
1.4 8 4 2010 0.228898 0.0275255 0.133133 0.17888 0.330016 0.898453
1.5 8 4 2010 0.229525 0.027367 0.131929 0.178443 0.330936 0.8982
1.6 8 4 2010 0.229952 0.0279775 0.133175 0.178705 0.332661 0.902472
1.7 8 4 2010 0.230013 0.0275203 0.131571 0.17896 0.331011 0.899075
1.8 8 4 2010 0.230365 0.028051 0.132686 0.179019 0.330588 0.900708
1.9 8 4 2010 0.230005 0.0277269 0.131818 0.178831 0.330793 0.899174
2 8 4 2010 0.230466 0.0281309 0.133082 0.179086 0.332251 0.903016
2.1 8 4 2010 0.230663 0.0273542 0.132059 0.180151 0.330874 0.901101
2.2 8 4 2010 0.231764 0.0280868 0.1327 0.17866 0.333654 0.904865
2.3 8 4 2010 0.230884 0.027335 0.132594 0.179555 0.331792 0.90216
2.4 8 4 2010 0.230867 0.0280795 0.13302 0.178977 0.330834 0.901778
2.5 8 4 2010 0.229997 0.0275708 0.132283 0.178862 0.330178 0.898891
2.6 8 4 2010 0.23088 0.0285455 0.132551 0.179228 0.331936 0.90314
2.7 8 4 2010 0.230098 0.0275056 0.131499 0.180469 0.330861 0.900433
2.8 8 4 2010 0.230721 0.027833 0.132612 0.490416 0.330355 1.21194
2.9 8 4 2010 0.228949 0.0275726 0.133617 0.491877 0.332972 1.21499
3 8 4 2010 0.231116 0.0278682 0.132421 0.490472 0.331698 1.21358
3.1 10 5 2010 0.231474 0.0275511 0.131435 0.489746 0.330417 1.21062
3.2 10 5 2018 0.231066 0.0283929 0.133228 0.492271 0.332229 1.21719
3.3 10 6 2018 0.229774 0.0280271 0.132521 0.494395 0.330919 1.21564
3.4 10 6 2018 0.22999 0.0280049 0.132297 0.494432 0.331529 1.21625
3.5 10 6 2018 0.23054 0.0283671 0.132084 0.492701 0.331145 1.21484
3.6 10 6 2018 0.229684 0.0290691 0.132378 0.494909 0.33213 1.21817
3.7 10 6 2018 0.229389 0.0284462 0.132701 0.493016 0.333107 1.21666
3.8 10 6 2018 0.231452 0.027935 0.132973 0.493865 0.331017 1.21724
3.9 10 7 2018 0.230661 0.0280209 0.133026 0.492377 0.332968 1.21705
4 12 7 2018 0.23135 0.0282743 0.132512 0.495205 0.331936 1.21928
4.1 12 7 2028 0.230139 0.0282365 0.132333 0.184143 0.333796 0.908647
4.2 12 7 2028 0.230555 0.0287247 0.132662 0.184153 0.334867 0.910962
4.3 12 8 2028 0.229803 0.0281304 0.133069 0.184168 0.335055 0.910226
4.4 12 8 2028 0.22955 0.0281995 0.132767 0.183862 0.334799 0.909178
4.5 12 8 2028 0.2301 0.0287705 0.132717 0.183692 0.334446 0.909725
4.6 12 8 2028 0.229546 0.0285969 0.132603 0.493807 0.334751 1.2193
4.7 14 8 2028 0.229749 0.0288407 0.133344 0.183027 0.335413 0.910373
4.8 12 8 2040 0.230327 0.0293404 0.132977 0.496765 0.336276 1.22569
4.9 12 8 2028 0.229826 0.0286597 0.13196 0.183376 0.336047 0.909869
5 12 8 2028 0.23191 0.0285898 0.13295 0.18375 0.335626 0.912826
5.1 14 8 2028 0.230713 0.028704 0.13369 0.186381 0.335301 0.914788
5.2 12 8 2040 0.230729 0.0292362 0.13323 0.498214 0.335592 1.227
5.3 12 8 2028 0.23109 0.0284005 0.132156 0.495171 0.336104 1.22292
5.4 14 8 2028 0.23105 0.0284912 0.132542 0.182796 0.336582 0.911461
5.5 14 8 2040 0.231028 0.0289543 0.13314 0.497748 0.338045 1.22892
5.6 14 8 2040 0.230847 0.0292775 0.134322 0.499255 0.339698 1.2334
5.7 12 8 2040 0.231223 0.0289385 0.132762 0.498411 0.340004 1.23134
5.8 12 8 2028 0.230339 0.028411 0.132701 0.496698 0.338622 1.22677
5.9 12 8 2028 0.231279 0.0285744 0.133373 0.495887 0.3385 1.22761
6 12 8 2028 0.230328 0.0287318 0.13282 0.496482 0.337313 1.22568
# measure: correlator(0,0) 0.0266251 s, O(L^2) version 0.0687641 s, n0=0.886199447887 |diff|=0
