bench_green_cost_v1 L 20 U 0.2 dt 0.1
# t  fewbody_sweep_s fb_nactive fb_bond   star_sweep_s star_bond
0  0.0858697 9 8   0.42842 21
0.1  0.0936281 9 8   0.442026 21
0.2  0.0953091 9 8   0.445345 21
0.3  0.0908531 9 8   0.448413 21
0.4  0.0915885 9 8   0.44887 21
0.5  0.0952084 8 8   0.447275 21
0.6  0.0881252 9 8   0.444641 21
0.7  0.0957624 9 8   0.449911 21
0.8  0.0943308 8 8   0.445016 21
0.9  0.0909899 8 8   0.445935 21
1  0.0902409 8 8   0.449738 21
1.1  0.0877782 9 8   0.453434 21
1.2  0.0905944 8 8   0.450655 21
1.3  0.0868348 9 8   0.450398 21
1.4  0.095417 9 8   0.458218 21
1.5  0.0890323 9 8   0.452682 21
1.6  0.0867972 9 8   0.453495 21
1.7  0.086325 9 8   0.458996 21
1.8  0.0833161 9 8   0.452235 21
1.9  0.0901334 9 8   0.457457 21
2  0.082602 9 8   0.456054 21
