bench_green_cost_siam_v2 L 80 U 0.025 dt 0.1 nStep 400 cutoff 0.001
# t  fb_evolve_s fb_measure_s fb_nactive fb_bond   star_evolve_s star_measure_s star_bond   |dG|
0  0.109674 0.00748542 11 6   1.04084 0.00840105 21   3.26493e-07
0.1  0.111902 0.0104332 10 6   1.08479 0.00935312 21   3.97916e-05
0.2  0.10973 0.0118159 9 6   1.08572 0.00932737 21   0.000306735
0.3  0.108779 0.0129797 9 6   1.08459 0.00955807 21   1.40984
0.4  0.108584 0.0132757 9 6   1.08593 0.00945405 21   1.40578
0.5  0.108219 0.0139119 9 6   1.08654 0.00951951 21   1.40194
0.6  0.108145 0.0146699 9 6   1.08775 0.00945403 21   1.39618
0.7  0.108133 0.0154636 9 6   1.08702 0.00937404 21   0.000317947
0.8  0.108772 0.0158491 9 6   1.08751 0.00937787 21   0.000353866
0.9  0.108661 0.0243039 9 6   1.087 0.00940072 21   1.37459
1  0.108318 0.0268859 9 6   1.08758 0.00935874 21   0.000540285
1.1  0.107897 0.0288241 9 6   1.08891 0.00934939 21   0.000482369
1.2  0.108639 0.0337422 9 6   1.08983 0.00943013 21   1.34458
1.3  0.10158 0.034647 9 6   1.09031 0.00941948 21   0.000830239
1.4  0.101557 0.038825 9 6   1.09131 0.00942602 21   0.0015146
1.5  0.0954473 0.0390471 9 6   1.0929 0.00937908 21   1.30622
1.6  0.0953401 0.0401752 9 6   1.09718 0.00941094 21   0.000799774
1.7  0.0958849 0.0403783 9 6   1.09759 0.00944276 21   1.27652
1.8  0.0955931 0.0586668 9 6   1.09913 0.00952512 21   0.001072
1.9  0.0951105 0.0435558 9 6   1.09691 0.00944044 21   1.24259
2  0.102374 0.0455478 9 6   1.09688 0.00939515 21   1.22554
2.1  0.0958348 0.0447189 9 6   1.09923 0.00944814 21   1.20665
2.2  0.095552 0.0458504 9 6   1.09819 0.00947546 21   0.00230552
2.3  0.0958776 0.0448356 9 6   1.1017 0.00953847 21   0.00298562
2.4  0.0959623 0.0453481 11 6   1.10042 0.00945519 21   0.00284831
2.5  0.0985382 0.0456027 11 6   1.10286 0.00944641 21   1.12652
2.6  0.0867866 0.0562764 11 6   1.10269 0.00938971 21   1.10593
2.7  0.100172 0.0565761 11 6   1.10192 0.00934797 21   0.00151303
2.8  0.0871653 0.0617057 11 6   1.10202 0.00955278 21   1.05978
2.9  0.0938229 0.0604611 11 6   1.10153 0.00937842 21   1.03599
3  0.0935911 0.0625026 9 6   1.10091 0.00939379 21   1.01229
3.1  0.0961467 0.0479144 9 6   1.10495 0.00945003 21   0.98797
3.2  0.0962785 0.0516854 9 6   1.10542 0.0093758 21   0.963759
3.3  0.0961921 0.0534253 9 6   1.10564 0.00936234 21   0.00367451
3.4  0.102887 0.0514785 9 6   1.10491 0.00954476 21   0.00212401
3.5  0.109173 0.0485057 9 6   1.10885 0.00957234 21   0.00302057
3.6  0.109047 0.0502725 9 6   1.10961 0.00950109 21   0.862228
3.7  0.103206 0.0515382 9 6   1.1102 0.00942884 21   0.834443
3.8  0.103113 0.063825 9 6   1.11088 0.00950175 21   0.808036
3.9  0.109965 0.0674289 9 6   1.11203 0.00941747 21   0.00388701
4  0.103387 0.0694395 9 6   1.11724 0.00935125 21   0.00451408
4.1  0.102596 0.0691164 9 6   1.11589 0.0093698 21   0.00407486
4.2  0.0893518 0.0672579 10 6   1.1151 0.00939041 21   0.00456831
4.3  0.0908034 0.0733115 10 6   1.11718 0.0093684 21   0.678285
4.4  0.111786 0.0780185 10 6   1.11923 0.00965651 21   0.00358395
4.5  0.105364 0.0810075 10 6   1.1179 0.00937411 21   0.00448831
4.6  0.112336 0.0787519 10 6   1.15369 0.00940496 21   0.00373398
4.7  0.118008 0.0785635 10 6   1.12291 0.00939583 21   0.00370814
4.8  0.112563 0.0825146 10 6   1.12593 0.00943277 21   0.00277528
4.9  0.112648 0.0874513 10 6   1.12446 0.0094224 21   0.00361684
5  0.119361 0.0879996 10 6   1.12745 0.00950726 21   0.00270329
