# SIAM excitation B=c_0up^dag|gs> (normalized), method=fbr
# L=100 U=0.1 V=0.1 dt=0.1 tmax=50 cutoff=1e-12 max_bond_dim=1024
# E_gs=-30.9227535891 gs_n_active=20 gs_bond_dim=24 gs_wall_s=116.858215
# nrm=0.707106782358
# t  n_active  bond_dim  wall_s  n0up  n0dw  ReA  ImA
0 20 24 0.008577 1 0.686975496153 0 0
0.1 23 19 0.16367 0.999961337114 0.686956184629 0 0
0.2 20 18 0.19302 0.999845446078 0.686898283543 0 0
0.3 20 18 0.172238 0.999652619283 0.686801874886 0 0
0.4 19 17 0.157212 0.999383342544 0.686667094885 0 0
0.5 19 17 0.166988 0.99903829286 0.686494133419 0 0
0.6 19 17 0.132847 0.998618335302 0.68628323305 0 0
0.7 20 17 0.148289 0.998124519023 0.686034687901 0 0
0.8 20 18 0.174367 0.997558072444 0.685748842186 0 0
0.9 20 18 0.151794 0.996920397626 0.685426088651 0 0
1 20 18 0.157685 0.996213063869 0.685066866707 0 0
1.1 20 18 0.159077 0.995437800557 0.684671660409 0 0
1.2 20 18 0.175634 0.994596489321 0.684240996235 0 0
1.3 20 18 0.175727 0.993691155519 0.683775440695 0 0
1.4 20 18 0.154597 0.992723959144 0.683275597731 0 0
1.5 20 18 0.136947 0.991697185154 0.682742106108 0 0
1.6 20 19 0.141995 0.99061323328 0.682175636578 0 0
1.7 20 19 0.140673 0.989474607421 0.681576889035 0 0
1.8 20 19 0.180112 0.988283904663 0.680946589408 0 0
1.9 20 19 0.161484 0.987043803945 0.680285486804 0 0
2 20 19 0.143383 0.985757054463 0.679594350363 0 0
2.1 20 19 0.166631 0.984426463895 0.678873966215 0 0
2.2 20 19 0.144994 0.983054886475 0.678125134389 0 0
2.3 20 19 0.145245 0.981645211035 0.677348665771 0 0
2.4 20 20 0.163616 0.98020034901 0.676545379095 0 0
2.5 20 20 0.168305 0.978723222507 0.675716097983 0 0
2.6 20 20 0.150058 0.977216752508 0.674861648082 0 0
2.7 20 20 0.150379 0.975683847278 0.673982854264 0 0
2.8 20 20 0.151185 0.974127390984 0.673080537952 0 0
2.9 20 21 0.172447 0.972550232652 0.672155514545 0 0
3 20 21 0.154062 0.970955175484 0.671208590987 0 0
3.1 20 20 0.193052 0.969344966573 0.670240563455 0 0
3.2 20 20 0.153589 0.967722287107 0.669252215214 0 0
3.3 20 20 0.151793 0.966089743062 0.668244314602 0 0
3.4 20 20 0.173305 0.9644498565 0.667217613212 0 0
3.5 20 21 0.191875 0.96280505741 0.666172844212 0 0
3.6 20 21 0.174117 0.96115767623 0.665110720839 0 0
3.7 20 21 0.155913 0.959509936998 0.66403193507 0 0
3.8 20 21 0.174476 0.957863951204 0.662937156466 0 0
3.9 20 21 0.192679 0.956221712382 0.661827031175 0 0
4 20 21 0.177258 0.954585091448 0.660702181173 0 0
4.1 20 22 0.176633 0.9529558327 0.659563203558 0 0
4.2 20 22 0.178191 0.951335550656 0.658410670095 0 0
4.3 20 22 0.158269 0.949725727636 0.6572451269 0 0
4.4 20 22 0.178181 0.948127712079 0.656067094268 0 0
4.5 20 23 0.158646 0.946542717638 0.65487706668 0 0
4.6 20 23 0.196984 0.944971823002 0.653675512928 0 0
4.7 20 23 0.157841 0.943415972451 0.652462876367 0 0
4.8 20 23 0.197521 0.941875977113 0.651239575348 0 0
4.9 20 23 0.178833 0.94035251694 0.650006003705 0 0
5 20 23 0.178542 0.938846143313 0.648762531408 0 0
5.1 20 23 0.178117 0.937357282277 0.64750950527 0 0
5.2 20 23 0.177925 0.935886238396 0.64624724979 0 0
5.3 20 22 0.197032 0.934433199141 0.644976068052 0 0
5.4 20 22 0.178074 0.932998239838 0.64369624271 0 0
5.5 20 23 0.17835 0.931581329045 0.642408037037 0 0
5.6 20 22 0.179997 0.930182334375 0.641111696016 0 0
5.7 20 22 0.159351 0.928801028758 0.639807447469 0 0
5.8 20 22 0.15998 0.927437096951 0.638495503277 0 0
5.9 20 22 0.181006 0.926090142406 0.637176060547 0 0
