# SIAM excitation B=c_0up^dag|gs> (normalized), method=fbr
# L=100 U=0 V=0.1 dt=0.1 tmax=50 cutoff=1e-10 max_bond_dim=1024
# E_gs=-30.8928861239 gs_n_active=4 gs_bond_dim=2 gs_wall_s=11.505004
# nrm=0.707107792208
# t  n_active  bond_dim  wall_s  n0up  n0dw  ReA  ImA
0 4 2 0.007696 1 0.499999398337 0 0
0.1 4 2 0.080018 0.99996218731 0.499999398396 0 0
0.2 4 2 0.081269 0.999848850864 0.499999398575 0 0
0.3 4 2 0.06799 0.999660295039 0.499999398881 0 0
0.4 4 2 0.082006 0.999397025501 0.499999399325 0 0
0.5 4 2 0.067199 0.99905974678 0.499999399919 0 0
0.6 4 2 0.051137 0.998649358905 0.499999400682 0 0
0.7 4 2 0.081901 0.998166953098 0.499999401632 0 0
0.8 4 2 0.067636 0.997613806574 0.499999402787 0 0
0.9 4 2 0.051006 0.996991376462 0.499999404167 0 0
1 4 2 0.066269 0.996301292899 0.499999405788 0 0
1.1 4 2 0.065591 0.995545351319 0.499999407663 0 0
1.2 4 2 0.081012 0.994725503994 0.499999409801 0 0
1.3 4 2 0.081495 0.993843850882 0.499999412204 0 0
1.4 4 2 0.051494 0.99290262982 0.499999414868 0 0
1.5 4 2 0.067651 0.991904206135 0.499999417779 0 0
1.6 4 2 0.051121 0.990851061718 0.499999420916 0 0
1.7 4 2 0.051049 0.989745783645 0.499999424245 0 0
1.8 4 2 0.051972 0.98859105239 0.499999427721 0 0
1.9 4 2 0.051621 0.987389629709 0.49999943129 0 0
2 4 2 0.068335 0.986144346268 0.499999434886 0 0
2.1 4 2 0.081331 0.984858089069 0.499999438429 0 0
2.2 4 2 0.051736 0.983533788771 0.499999441831 0 0
2.3 4 2 0.051395 0.98217440695 0.499999444994 0 0
2.4 4 2 0.050315 0.980782923388 0.499999447808 0 0
2.5 4 2 0.066882 0.979362323454 0.499999450159 0 0
2.6 4 2 0.052171 0.97791558565 0.499999451924 0 0
2.7 4 2 0.053201 0.976445669379 0.499999452976 0 0
2.8 4 2 0.067485 0.974955503022 0.499999453187 0 0
2.9 4 2 0.068309 0.973447972361 0.499999452427 0 0
3 4 2 0.082246 0.971925909427 0.499999450569 0 0
3.1 4 2 0.068541 0.970392081828 0.499999447491 0 0
3.2 4 2 0.083658 0.968849182598 0.499999443076 0 0
3.3 4 2 0.052366 0.96729982063 0.499999437218 0 0
3.4 4 2 0.069085 0.965746511741 0.499999429822 0 0
3.5 4 2 0.084079 0.96419167039 0.499999420805 0 0
3.6 4 2 0.067298 0.962637602114 0.499999410103 0 0
3.7 4 2 0.052387 0.961086496683 0.499999397667 0 0
3.8 4 2 0.082605 0.959540422033 0.499999383469 0 0
3.9 4 2 0.067922 0.958001318975 0.499999371534 0 0
4 4 2 0.068502 0.9564709967 0.499999362609 0 0
4.1 4 2 0.070429 0.954951129104 0.499999352758 0 0
4.2 4 2 0.082154 0.953443251929 0.499999342005 0 0
4.3 4 2 0.067735 0.951948760722 0.499999330388 0 0
4.4 4 2 0.067878 0.950468909605 0.499999317954 0 0
4.5 4 2 0.067325 0.94900481086 0.499999304762 0 0
4.6 4 2 0.067899 0.947557435296 0.499999290879 0 0
4.7 4 2 0.068337 0.946127613395 0.499999276382 0 0
4.8 4 2 0.083225 0.944716037206 0.499999261359 0 0
4.9 4 2 0.067896 0.943323262957 0.499999245903 0 0
5 4 2 0.067459 0.941949714359 0.499999230112 0 0
5.1 4 2 0.067967 0.940595686564 0.499999214094 0 0
5.2 4 2 0.051213 0.939261350737 0.499999197955 0 0
5.3 4 2 0.051676 0.937946759193 0.499999181809 0 0
5.4 4 2 0.052256 0.936651851071 0.499999165765 0 0
5.5 4 2 0.052143 0.935376458479 0.499999149938 0 0
5.6 4 2 0.069494 0.934120313062 0.499999134436 0 0
5.7 4 2 0.068668 0.932883052955 0.499999119366 0 0
5.8 4 2 0.068875 0.931664230055 0.49999910483 0 0
5.9 4 2 0.082158 0.93046331755 0.499999090924 0 0
6 4 2 0.067252 0.929279717677 0.499999077737 0 0
6.1 4 2 0.069164 0.928112769621 0.499999065352 0 0
6.2 4 2 0.069699 0.926961757528 0.499999053839 0 0
6.3 4 2 0.082264 0.92582591855 0.499999043262 0 0
6.4 4 2 0.052473 0.924704450895 0.499999033674 0 0
6.5 4 2 0.083138 0.92359652181 0.499999025116 0 0
6.6 4 2 0.052318 0.922501275454 0.499999017619 0 0
6.7 4 2 0.070955 0.921417840607 0.499999011203 0 0
6.8 4 2 0.085577 0.920345338175 0.499999005878 0 0
6.9 4 2 0.069864 0.919282888441 0.499999001642 0 0
7 4 2 0.069897 0.918229618019 0.499998998485 0 0
7.1 4 2 0.070057 0.917184666476 0.499998996383 0 0
7.2 4 2 0.083517 0.916147192591 0.499998994878 0 0
7.3 4 2 0.068839 0.915116380202 0.499998994897 0 0
7.4 4 2 0.069173 0.914091443633 0.499998996994 0 0
7.5 4 2 0.069947 0.913071632663 0.499998998979 0 0
7.6 4 2 0.069524 0.912056237019 0.499999001791 0 0
7.7 4 2 0.068902 0.91104459038 0.499999005367 0 0
