# SIAM excitation B=c_0up^dag|gs> (normalized), method=fbr
# L=200 U=0.025 V=0.1 dt=0.1 tmax=100 cutoff=1e-10 max_bond_dim=1024
# E_gs=-62.7298692502 gs_n_active=20 gs_bond_dim=20 gs_wall_s=188.375447
# nrm=0.707106782161
# t  n_active  bond_dim  wall_s  n0up  n0dw  ReA  ImA
0 20 20 0.060145 1 0.556033591439 0 0
0.1 18 13 0.275101 0.999961526497 0.556028551079 0 0
0.2 17 13 0.23615 0.999846208719 0.556013439025 0 0
0.3 17 12 0.229426 0.999654352823 0.555988276676 0 0
0.4 17 12 0.229407 0.999386468398 0.555953100561 0 0
0.5 17 12 0.19431 0.99904326502 0.555907960895 0 0
0.6 17 11 0.22768 0.998625649493 0.555852921894 0 0
0.7 16 11 0.225988 0.998134721512 0.555788061576 0 0
0.8 16 11 0.22447 0.997571767796 0.555713470999 0 0
0.9 16 10 0.223793 0.996938256121 0.555629254249 0 0
1 16 10 0.253546 0.996235829143 0.555535527533 0 0
1.1 16 10 0.255511 0.995466295727 0.555432419062 0 0
1.2 16 10 0.255635 0.99463162282 0.555320068181 0 0
1.3 16 10 0.225991 0.993733926222 0.555198624853 0 0
1.4 16 10 0.255779 0.992775460588 0.555068248715 0 0
1.5 16 10 0.256457 0.991758609155 0.554929108849 0 0
1.6 16 10 0.225886 0.990685872459 0.554781382517 0 0
1.7 16 10 0.256345 0.989559856847 0.554625254709 0 0
1.8 16 10 0.256315 0.988383263133 0.55446091733 0 0
1.9 16 10 0.254688 0.98715887366 0.554288568147 0 0
2 16 10 0.25383 0.985889540362 0.5541084103 0 0
2.1 16 10 0.254202 0.984578171767 0.553920651326 0 0
2.2 16 11 0.255464 0.983227720338 0.553725502237 0 0
2.3 16 11 0.255009 0.981841169904 0.553523176944 0 0
2.4 16 11 0.25518 0.980421522808 0.553313891071 0 0
2.5 16 11 0.255439 0.978971787437 0.553097861556 0 0
2.6 17 11 0.254986 0.977494965107 0.55287530578 0 0
2.7 17 11 0.193809 0.975994037987 0.552646440685 0 0
