# SIAM excitation B=c_0up^dag|gs> (normalized), method=star
# L=100 U=0.1 V=0.1 dt=0.1 tmax=50 cutoff=1e-12 max_bond_dim=1024
# E_gs=-30.9227535891 gs_bond_dim=33 gs_wall_s=34.525194
# nrm=0.707106780997  G00(t) = -i nrm^2 exp(i E_gs t) A(t)
# t  n_active  bond_dim  wall_s  n0up  n0dw  ReA  ImA
0 100 33 0.003425 1 0.686975496688 1 0
0.1 100 26 0.584874 0.999961379348 0.686958307703 -0.998402600197 0.055760083028
0.2 100 25 0.605986 0.999845608808 0.68690241815 0.993616438239 -0.111329783779
0.3 100 25 0.607271 0.999652977343 0.686808007164 -0.985659600557 0.166519556604
0.4 100 25 0.603741 0.999383968081 0.686675209259 0.97456212361 -0.22114152447
0.5 100 25 0.606369 0.999039254863 0.68650421562 -0.960365831496 0.275010298978
0.6 100 25 0.606776 0.998619699409 0.686295264955 0.943124111248 -0.327943783244
0.7 100 25 0.605037 0.998126347336 0.68604864662 -0.922901627353 0.379763952221
0.8 100 25 0.604924 0.997560423141 0.68576469148 0.899773978006 -0.430297605361
0.9 100 25 0.603405 0.996923326724 0.685443804526 -0.873827296023 0.479377086549
1 100 25 0.603101 0.99621662523 0.685086425823 0.845157797875 -0.526840967042
1.1 100 25 0.609254 0.995442047723 0.684693035268 -0.813871284783 0.572534687148
1.2 100 25 0.604341 0.994601476306 0.684264184672 0.78008260003 -0.616311152957
1.3 100 25 0.608675 0.993696931013 0.683800424001 -0.743915046941 0.658031284724
1.4 100 25 0.605599 0.992730576285 0.68330241093 0.705499772581 -0.697564515118
1.5 100 25 0.606096 0.991704690325 0.682770740814 -0.664975121285 0.734789232837
1.6 100 25 0.602884 0.99062167064 0.682206090773 0.622485964707 -0.769593173378
1.7 100 25 0.602213 0.98948402311 0.681609212168 -0.578183012224 0.801873753266
1.8 100 25 0.603439 0.988294336502 0.680980786488 0.532222106403 -0.831538346258
1.9 100 25 0.608309 0.987055284324 0.680321580479 -0.484763511017 0.858504505622
2 100 25 0.602274 0.985769619298 0.679632376764 0.435971194484 -0.882700128288
2.1 100 25 0.608056 0.984440139838 0.678913966277 -0.386012113614 0.904063564899
2.2 100 25 0.606844 0.983069702459 0.678167172013 0.335055504335 -0.92254367549
2.3 100 25 0.6021 0.981661181841 0.677392749918 -0.28327218102 0.938099832382
2.4 100 25 0.604182 0.980217497361 0.676591594145 0.23083385141 -0.950701876686
2.5 100 25 0.604859 0.978741565234 0.675764508489 -0.177912448164 0.960330022044
2.6 100 25 0.60286 0.977236308381 0.674912316943 0.124679483265 -0.966974718674
2.7 100 25 0.600438 0.975704626002 0.674035837384 -0.071305425499 0.970636473749
2.8 100 25 0.602446 0.974149404991 0.673135863115 0.0179591061047 -0.9713256345
2.9 100 25 0.604246 0.972573491901 0.672213197404 0.0351928468831 0.969062138084
3 100 25 0.606473 0.970979692178 0.671268634612 -0.08798654347 -0.96387522828
3.1 100 25 0.607568 0.969370749104 0.670302949301 0.140261334029 0.955803146036
3.2 100 25 0.606218 0.96774934131 0.669316920128 -0.191860278111 -0.944892797854
3.3 100 25 0.605116 0.966118076506 0.668311311097 0.242630579528 0.931199401943
3.4 100 25 0.605636 0.964479474389 0.667286864705 -0.292423987829 -0.9147861177
3.5 100 25 0.607421 0.962835962282 0.666244321843 0.341097165578 0.895723663154
3.6 100 25 0.607149 0.961189868372 0.665184403545 -0.388512022794 -0.874089921761
3.7 100 25 0.612109 0.959543416409 0.664107809583 0.434536018833 0.84996954222
3.8 100 25 0.616522 0.957898718252 0.663015218916 -0.479042433084 -0.82345353386
3.9 100 25 0.61098 0.956257767088 0.661907280845 0.521910605507 0.794638856591
4 100 25 0.611079 0.954622433063 0.66078462148 -0.563026148131 -0.763628016096
4.1 100 25 0.605878 0.95299445962 0.659647849415 0.602281132175 0.730528660156
4.2 100 25 0.602555 0.951375461946 0.65849752623 -0.639574245142 -0.695453172809
4.3 100 25 0.605713 0.949766920824 0.657334201037 0.674810930665 0.658518281668
4.4 100 25 0.607215 0.948170189777 0.656158387367 -0.707903504954 -0.619844667602
4.5 100 25 0.606432 0.94658647753 0.654970594586 0.738771250754 0.579556577569
4.6 100 25 0.608504 0.945016863274 0.653771279825 -0.767340496039 -0.53778144992
4.7 100 25 0.61286 0.943462291267 0.652560869706 0.793544676702 0.494649543206
4.8 100 25 0.610122 0.941923571112 0.651339799099 -0.817324389162 -0.450293577395
4.9 100 25 0.612537 0.940401381886 0.650108458835 0.838627416967 0.404848374058
5 100 25 0.610397 0.938896268701 0.648867220379 -0.857408755367 -0.358450509628
5.1 100 25 0.609935 0.937408655578 0.647616428657 0.873630627554 0.311237972944
5.2 100 25 0.60922 0.9359388456 0.646356406407 -0.887262484801 -0.263349827365
5.3 100 25 0.611275 0.934487025672 0.645087467599 0.898281002705 0.214925878022
5.4 100 25 0.612921 0.933053272616 0.643809880679 -0.906670052522 -0.166106343881
5.5 100 25 0.616579 0.931637561139 0.642523924282 0.912420695827 0.117031532922
5.6 100 25 0.614987 0.930239749143 0.641229831082 -0.915531128701 -0.0678415184845
5.7 100 25 0.609418 0.9288596041 0.639927827263 0.916006656219 0.0186758155029
5.8 100 25 0.611536 0.927496818346 0.638618110994 -0.913859637384 0.0303269354468
5.9 100 25 0.612293 0.926150999295 0.637300879341 0.909109424002 -0.0790292875402
6 100 25 0.617513 0.92482164685 0.635976325483 -0.901782278417 0.127295301513
6.1 100 25 0.621959 0.923508232642 0.634644609446 0.891911316402 -0.17499087564
6.2 100 25 0.625407 0.922210160034 0.633305890933 -0.879536394653 0.221984056912
6.3 100 25 0.62066 0.92092677336 0.631960315689 0.864704012281 -0.268145359453
6.4 100 25 0.618219 0.919657379571 0.630608020234 -0.847467188671 0.313348081008
6.5 100 25 0.619291 0.918401235016 0.629249138905 0.827885334995 -0.357468625372
6.6 100 25 0.623812 0.91715758232 0.627883785446 -0.806024099698 0.400386810453
6.7 100 25 0.622603 0.915925631419 0.626512089901 0.781955209113 -0.441986184314
6.8 100 25 0.628266 0.914704587778 0.625134162765 -0.755756286116 0.482154339197
6.9 100 25 0.624901 0.913493637586 0.623750126156 0.727510646678 -0.520783203871
7 100 25 0.67106 0.912291969695 0.622360089453 -0.697307088904 0.557769346994
7.1 100 25 0.632737 0.911098780088 0.620964164986 0.665239656974 -0.593014271386
7.2 100 25 0.633924 0.909913274961 0.619562467352 -0.631407389897 0.626424689895
7.3 100 25 0.617833 0.908734680544 0.618155096315 0.595914048833 -0.657912797173
7.4 100 25 0.609174 0.907562246118 0.616742157938 -0.558867831598 0.687396533207
7.5 100 25 0.654678 0.906395246226 0.615323773312 0.520381060557 -0.714799828086
7.6 100 25 0.615301 0.905232997969 0.613900060255 -0.48056986957 0.740052821789
7.7 100 25 0.607111 0.90407484438 0.612471114237 0.439553851308 -0.763092077525
7.8 100 25 0.629611 0.902920173348 0.611037074833 -0.397455710862 0.783860779173
7.9 100 25 0.629117 0.901768417685 0.609598057997 0.354400894356 -0.802308910477
8 100 25 0.61567 0.90061905541 0.608154196337 -0.310517207903 0.818393392878
8.1 100 26 0.619351 0.899471614327 0.606705621946 0.265934423653 -0.832078220116
8.2 100 26 0.614661 0.898325674871 0.605252472503 -0.220783880263 0.843334560299
8.3 100 26 0.809201 0.897180870772 0.60379488313 0.175198074178 -0.852140831945
8.4 100 26 0.656228 0.89603688778 0.602332996725 -0.12931024104 0.858482760752
8.5 100 26 0.610476 0.894893469224 0.600866959918 0.0832539368926 -0.862353405065
8.6 100 26 0.616709 0.893750407742 0.599396939811 -0.0371626165617 0.863753156501
8.7 100 26 0.639104 0.892607550209 0.597923071507 -0.00883077598435 -0.86268970524
8.8 100 26 0.618276 0.891464796771 0.596445514399 0.0545942387292 0.859177995476
8.9 100 26 0.632429 0.890322099593 0.594964429932 -0.0999971197231 -0.853240140227
9 100 26 0.617136 0.889179459408 0.593479969366 0.144910519624 0.844905314786
9.1 100 26 0.621379 0.888036926804 0.591992307684 -0.18920769577 -0.834209626685
9.2 100 26 0.666396 0.886894597655 0.59050160927 0.23276444236 0.821195956755
9.3 100 26 0.628474 0.885752607062 0.589008050992 -0.275459472486 -0.805913777365
9.4 100 27 0.654447 0.884611133848 0.587511798948 0.31717477248 0.788418953602
9.5 100 27 0.644471 0.883470400844 0.58601301761 -0.357795948647 -0.768773516139
9.6 100 27 0.63818 0.882330649751 0.584511872165 0.3972125529 0.747045418826
9.7 100 27 0.634224 0.881192160877 0.5830085349 -0.435318396037 -0.723308276397
9.8 100 27 0.730306 0.880055240018 0.581503168783 0.472011833078 0.697641090043
9.9 100 27 0.836679 0.878920215954 0.579995940378 -0.507196043916 -0.670127949968
10 100 27 0.704519 0.877787435399 0.578487008844 0.540779269459 0.640857732177
10.1 100 27 0.627766 0.876657259471 0.57697653277 -0.572675050224 -0.609923780983
10.2 100 27 0.628482 0.875530064617 0.575464677424 0.602802436905 0.577423574817
10.3 100 27 0.63626 0.874406225415 0.573951594162 -0.631086162204 -0.543458399184
10.4 100 27 0.629797 0.873286130045 0.572437430255 0.657456805245 0.508133015419
10.5 100 27 0.639299 0.872170158512 0.570922341872 -0.681850945987 -0.471555294212
10.6 100 27 0.64128 0.871058694202 0.569406471579 0.704211277186 0.433835870774
10.7 100 27 0.641701 0.869952112771 0.5678899478 -0.724486696713 -0.395087814359
10.8 100 27 0.642662 0.868850777453 0.566372911937 0.742632400829 0.355426250474
10.9 100 27 0.640344 0.867755039495 0.56485548996 -0.758609931409 -0.314968027762
11 100 27 0.640124 0.866665233931 0.5633378084 0.772387219361 0.273831359122
11.1 100 27 0.643154 0.865581676376 0.561819986483 -0.783938604682 -0.232135483395
11.2 100 27 0.640623 0.864504667962 0.560302138433 0.793244839066 0.190000314256
11.3 100 27 0.645182 0.863434471048 0.558784378119 -0.800293068607 -0.147546112947
11.4 100 27 0.647224 0.862371330087 0.557266818376 0.805076803631 0.104893150336
11.5 100 28 0.646596 0.861315465402 0.555749556762 -0.807595868604 -0.0621613870957
11.6 100 28 0.644896 0.860267071391 0.554232683125 0.807856344087 0.0194701488049
11.7 100 28 0.648416 0.859226306339 0.552716292593 -0.805870486262 0.023062194987
11.8 100 28 0.64918 0.858193306043 0.551200475571 0.801656644863 -0.0653185124597
11.9 100 28 0.647507 0.857168173169 0.549685305933 -0.795239148627 0.107183222349
12 100 28 0.645805 0.85615098142 0.548170858966 0.786648200534 -0.148542581122
12.1 100 28 0.645452 0.855141771233 0.546657204507 -0.77591974302 0.189284970748
12.2 100 28 0.653544 0.854140566381 0.54514441119 0.763095325094 -0.229301165088
12.3 100 28 0.651004 0.853147338959 0.543632545327 -0.748221941786 0.268484607511
12.4 100 28 0.650161 0.852162040246 0.542121674369 0.73135188764 -0.306731655412
12.5 100 29 0.652938 0.851184606277 0.540611849247 -0.712542580067 0.34394182853
12.6 100 29 0.653189 0.850214934702 0.539103130332 0.69185637105 -0.380018068796
12.7 100 29 0.656551 0.84925289542 0.537595575185 -0.66936037436 0.414866945344
12.8 100 29 0.654023 0.848298355185 0.536089227453 0.645126242866 -0.44839889908
12.9 100 29 0.656168 0.847351131028 0.53458414339 -0.61922997645 0.480528443236
13 100 29 0.658691 0.846411036352 0.533080361801 0.591751685412 -0.511174373404
13.1 100 29 0.659869 0.845477869977 0.531577931552 -0.562775382041 0.540259957979
13.2 100 29 0.661278 0.84455141332 0.530076901289 0.532388729737 -0.567713123017
13.3 100 29 0.658275 0.843631439366 0.528577309688 -0.500682805086 0.593466617521
13.4 100 29 0.660011 0.842717706578 0.527079199818 0.467751835695 -0.617458181314
13.5 100 29 0.657761 0.841809968426 0.525582615024 -0.433692950508 0.639630696091
13.6 100 29 0.770824 0.840907968824 0.524087597771 0.398605881298 -0.659932313573
13.7 100 29 0.68653 0.840011452265 0.522594193488 -0.362592712523 0.678316580584
13.8 100 29 0.750107 0.839120159764 0.521102445698 0.325757585592 -0.694742551982
13.9 100 29 0.947581 0.838233838288 0.519612399294 -0.288206421113 0.709174882449
14 100 30 0.701843 0.837352234931 0.518124103402 0.25004660367 -0.721583912947
14.1 100 30 0.69665 0.836475110987 0.516637599058 -0.211386692125 0.731945726462
14.2 100 30 0.698083 0.835602218094 0.515152940425 0.172336105254 -0.740242202026
14.3 100 30 0.697722 0.834733336197 0.513670167416 -0.133004827814 0.746461052275
14.4 100 30 0.696954 0.833868248211 0.5121893326 0.0935030817729 -0.750595834437
14.5 100 30 0.697356 0.833006755937 0.510710487029 -0.0539410303622 0.752645954721
14.6 100 30 0.701109 0.832148677408 0.509233681363 0.0144284371951 -0.752616639924
14.7 100 30 0.702795 0.831293833319 0.507758973268 0.0249256160172 0.750518909903
14.8 100 30 0.695281 0.830442074867 0.506286410802 -0.064013043014 -0.746369527896
14.9 100 31 0.731441 0.829593268162 0.504816055846 0.102727079058 0.740190923435
15 100 31 0.691055 0.828747295048 0.503347963623 -0.140962576345 -0.732011099815
15.1 100 31 0.681502 0.827904061128 0.501882187965 0.178616297812 0.721863535234
15.2 100 31 0.685132 0.827063488543 0.500418797547 -0.215587218953 -0.709787054737
15.3 100 31 0.684812 0.826225522118 0.498957843179 0.251776796429 0.695825693008
15.4 100 31 0.688941 0.825390125893 0.497499385663 -0.287089258789 -0.680028535267
15.5 100 31 0.687518 0.824557282399 0.496043485916 0.321431859366 0.662449546676
15.6 100 31 0.688915 0.823726993924 0.494590205673 -0.354715138184 -0.643147384477
15.7 100 31 0.712969 0.82289928609 0.493139603954 0.386853157922 0.622185203486
15.8 100 32 0.710778 0.822074192142 0.491691752515 -0.417763745733 -0.599630417683
15.9 100 32 0.694484 0.821251770958 0.490246707682 0.447368691206 0.575554504682
16 100 32 0.69106 0.820432094181 0.488804532863 -0.475593960949 -0.550032743558
16.1 100 32 0.69966 0.819615248486 0.487365289861 0.502369870977 0.523143982397
16.2 100 32 0.700833 0.818801339522 0.485929038114 -0.527631264885 -0.494970377898
16.3 100 32 0.696627 0.817990482558 0.484495837951 0.551317667565 0.465597120983
16.4 100 32 0.734025 0.81718280335 0.483065749145 -0.573373422308 -0.43511216663
16.5 100 32 0.68682 0.816378439462 0.481638829611 0.593747803974 0.403605962824
16.6 100 32 0.68375 0.815577535102 0.480215140755 -0.612395130952 -0.371171158264
16.7 100 32 0.67848 0.814780242689 0.478794731021 0.629274842465 0.337902328863
16.8 100 32 0.687531 0.813986714835 0.477377662827 -0.644351574569 -0.303895667259
16.9 100 32 0.67469 0.813197116422 0.475963982398 0.657595206534 0.269248731069
17 100 33 0.680729 0.812411608664 0.474553743371 -0.66898089973 -0.234060119074
17.1 100 33 0.690636 0.811630349109 0.473146995582 0.678489115241 0.198429192822
17.2 100 33 0.677825 0.810853492486 0.471743779167 -0.686105613196 -0.162455824846
17.3 100 33 0.680655 0.810081207274 0.470344145065 0.691821458323 0.126240046199
17.4 100 33 0.680203 0.809313651259 0.468948132609 -0.695632972598 -0.0898818247489
17.5 100 33 0.684487 0.808550967854 0.467555789769 0.697541695812 0.0534807689869
17.6 100 33 0.685366 0.807793299779 0.466167150559 -0.697554339296 -0.0171358749357
17.7 100 33 0.684544 0.807040778988 0.464782251876 0.695682708454 -0.0190547569256
17.8 100 33 0.695955 0.806293528843 0.463401128787 -0.691943624409 0.0549941703289
17.9 100 33 0.693571 0.80555166015 0.462023827725 0.686358832859 -0.0905868023213
18 100 33 0.689056 0.804815275033 0.460650377094 -0.678954892035 0.125738720239
18.1 100 33 0.686841 0.804084461316 0.459280795159 0.669763055584 -0.16035786465
18.2 100 33 0.683301 0.803359300834 0.457915108539 -0.658819160247 0.194354263446
18.3 100 34 0.68644 0.802639859841 0.456553339817 0.646163480381 -0.227640262274
18.4 100 34 0.684913 0.801926182026 0.455195511743 -0.631840577465 0.260130728363
18.5 100 34 0.684828 0.801218303073 0.453841645758 0.615899155294 -0.291743250542
18.6 100 34 0.68964 0.800516256103 0.452491758687 -0.598391893136 0.322398332785
18.7 100 34 0.69116 0.799820038815 0.451145883541 0.579375269084 -0.352019586411
18.8 100 34 0.688621 0.799129643821 0.449804027138 -0.558909418248 0.380533857748
18.9 100 34 0.688383 0.798445045078 0.448466208926 0.53705790168 -0.40787144651
19 100 34 0.7034 0.797766214732 0.447132441245 -0.513887559337 0.433966229134
19.1 100 34 0.690146 0.79709310698 0.445802738431 0.489468287222 -0.4587558154
19.2 100 34 0.690278 0.796425662704 0.444477114931 -0.463872842168 0.482181679923
19.3 100 34 0.692857 0.795763812109 0.44315558816 0.437176640012 -0.504189285438
19.4 100 34 0.692801 0.795107474886 0.441838166485 -0.409457542299 0.524728197196
19.5 100 34 0.701122 0.794456560475 0.440524860999 0.380795641754 -0.543752188459
19.6 100 34 0.701601 0.793810969223 0.439215684027 -0.351273039974 0.561219334371
19.7 100 34 0.702182 0.793170594688 0.437910647207 0.320973629369 -0.577092095308
19.8 100 35 0.705514 0.792535324056 0.436609758226 -0.289982860377 0.591337392163
19.9 100 35 0.705633 0.791905047497 0.43531302684 0.258387504296 -0.603926664387
20 100 35 0.706855 0.791279631936 0.43402046899 -0.226275446204 0.614835922292
20.1 100 35 0.70837 0.790658946088 0.432732100719 0.193735414501 -0.624045786542
20.2 100 35 0.702363 0.790042864487 0.431447931261 -0.160856782016 0.631541521625
20.3 100 35 0.705081 0.789431258292 0.430167971688 0.12772929652 -0.637313046331
20.4 100 35 0.700612 0.788823998335 0.428892234324 -0.0944428531911 0.641354940686
20.5 100 35 0.697843 0.78822095703 0.427620731757 0.0610872542636 -0.6436664383
20.6 100 35 0.700879 0.787622007405 0.426353477233 -0.0277519651753 0.644251404237
20.7 100 35 0.701489 0.787027030271 0.425090483795 -0.00547410930989 -0.643118310405
20.8 100 35 0.704504 0.786435913273 0.423831767193 0.0385028622208 0.64028019234
20.9 100 35 0.702546 0.785848548204 0.42257733598 -0.0712472611206 -0.635754571227
21 100 35 0.703438 0.785264823037 0.421327210537 0.10362152354 0.629563409183
21.1 100 35 0.706123 0.784684640825 0.420081404282 -0.135541369302 -0.621733019234
