# SIAM excitation B=c_0up^dag|gs> (normalized), method=star
# L=100 U=0 V=0.1 dt=0.1 tmax=50 cutoff=1e-10 max_bond_dim=1024
# E_gs=-30.8928861244 gs_bond_dim=21 gs_wall_s=38.08804
# nrm=0.707106781139  G00(t) = -i nrm^2 exp(i E_gs t) A(t)
# t  n_active  bond_dim  wall_s  n0up  n0dw  ReA  ImA
0 100 21 0.003244 1 0.49999999999 1 0
0.1 100 15 0.44071 0.999962228926 0.50000000005 -0.998324142803 0.0572132687943
0.2 100 15 0.446862 0.999849013752 0.500000000032 0.993303135343 -0.11422301981
0.3 100 15 0.440646 0.999660656455 0.500000000025 -0.984956624101 0.170826657831
0.4 100 15 0.454467 0.999397660711 0.500000000012 0.973317233962 -0.226823427693
0.5 100 15 0.443536 0.99906072892 0.499999999993 -0.958430385616 0.282015317788
0.6 100 15 0.455546 0.998650758753 0.499999999971 0.940354043797 -0.336207944096
0.7 100 15 0.478687 0.998168839519 0.499999999947 -0.919158397709 0.389211408525
0.8 100 15 0.445157 0.997616245205 0.499999999922 0.894925476511 -0.440841125648
0.9 100 15 0.440704 0.996994429793 0.499999999897 -0.867748703149 0.490918612452
1 100 15 0.449379 0.996305017068 0.499999999875 0.837732390632 -0.53927223572
1.1 100 15 0.441122 0.995549802667 0.499999999857 -0.804991185337 0.585737912457
1.2 100 15 0.443684 0.994730735963 0.499999999846 0.769649462103 -0.630159759748
1.3 100 15 0.577276 0.993849912366 0.499999999842 -0.731840676317 0.672390689783
1.4 100 15 0.446583 0.992909567767 0.499999999848 0.69170667843 -0.712292947517
1.5 100 15 0.458318 0.991912062384 0.499999999865 -0.649396996887 0.749738588365
1.6 100 15 0.465983 0.990859876544 0.499999999894 0.605068094398 -0.784609895102
1.7 100 15 0.463257 0.989755590779 0.499999999936 -0.55888260631 0.816799728781
1.8 100 15 0.465336 0.988601883824 0.499999999991 0.511008562389 -0.846211821472
1.9 100 15 0.44744 0.98740147805 0.500000000061 -0.461618601052 0.872761001817
2 100 15 0.449069 0.98615722967 0.500000000144 0.410889182862 -0.896373360879
2.1 100 15 0.48914 0.984872022299 0.500000000241 -0.358999804114 0.916986354556
2.2 100 15 0.449556 0.983548783221 0.500000000351 0.30613222018 -0.934548847937
2.3 100 15 0.459537 0.982190470826 0.500000000473 -0.252469681577 0.949021102169
2.4 100 15 0.47834 0.9808000618 0.500000000605 0.198196187553 -0.960374707057
2.5 100 15 0.450883 0.979380537725 0.500000000747 -0.14349576134 0.968592462033
2.6 100 15 0.501174 0.977934874593 0.500000000896 0.0885517507251 -0.973668209521
2.7 100 15 0.45743 0.976466029183 0.50000000105 -0.0335461571957 0.975606624236
2.8 100 15 0.463015 0.974976926567 0.500000001206 -0.0213410037416 -0.974422961396
2.9 100 15 0.453059 0.973470449191 0.500000001363 0.0759323083117 0.970142769306
3 100 15 0.450791 0.971949426811 0.500000001516 -0.130053495593 -0.962801569628
3.1 100 15 0.478506 0.970416622607 0.500000001664 0.183534001519 0.952444509553
3.2 100 15 0.519948 0.96887472774 0.500000001801 -0.236207456719 -0.939125989257
3.3 100 15 0.465167 0.967326349273 0.500000001925 0.287912145621 0.922909270571
3.4 100 15 0.482251 0.965774000929 0.500000002033 -0.338491428501 -0.903866068676
3.5 100 15 0.509957 0.964220095192 0.500000002122 0.387794127093 0.882076131424
3.6 100 15 0.465096 0.962666935844 0.500000002189 -0.435674873926 -0.857626809691
