# SIAM excitation B=c_0up^dag|gs> (normalized), method=star
# L=200 U=0.2 V=0.1 dt=0.1 tmax=100 cutoff=1e-10 max_bond_dim=1024
# E_gs=-62.7923135244 gs_bond_dim=54 gs_wall_s=82.428325
# nrm=0.707106781809  G00(t) = -i nrm^2 exp(i E_gs t) A(t)
# t  n_active  bond_dim  wall_s  n0up  n0dw  ReA  ImA
0 200 54 0.00681899999999 1 0.829592767692 1 0
0.1 200 26 1.188308 0.999958566626 0.829560935114 0.999851620784 -0.0142190340492
0.2 200 24 1.11953 0.999834304791 0.829465476379 0.999406696838 -0.0284285735442
0.3 200 24 1.130794 0.999627467153 0.829306513501 0.99866590208 -0.0426191492298
0.4 200 24 1.128568 0.999338493759 0.829084271384 0.997630369066 -0.0567813488645
0.5 200 24 1.111502 0.998967998986 0.828799062795 0.996301677162 -0.0709058455134
0.6 200 24 1.125339 0.998516768927 0.828451287491 0.994681845035 -0.0849834251993
0.7 200 24 1.109617 0.997985758077 0.828041430206 0.992773321153 -0.0990050138711
0.8 200 24 1.109062 0.99737608549 0.827570059128 0.990578972586 -0.112961703598
0.9 200 24 1.114947 0.996689029758 0.827037822043 0.988102072214 -0.126844777848
1 200 24 1.110157 0.995926024062 0.82644544528 0.985346283627 -0.140645735571
1.1 200 24 1.115036 0.99508865028 0.825793728604 0.982315644888 -0.154356314172
1.2 200 24 1.105587 0.994178632579 0.82508354262 0.97901455052 -0.167968511067
1.3 200 24 1.115352 0.993197829869 0.824315823637 0.97544773199 -0.181474603719
1.4 200 24 1.111362 0.992148228451 0.823491571971 0.97162023751 -0.194867168305
1.5 200 24 1.103251 0.991031934341 0.822611846251 0.967537409439 -0.208139096422
1.6 200 24 1.103697 0.989851164601 0.82167775926 0.963204861532 -0.221283610208
1.7 200 24 1.205731 0.988608238334 0.820690473437 0.958628455261 -0.23429427576
1.8 200 24 1.534454 0.987305565227 0.819651188869 0.95381427446 -0.247165013953
1.9 200 24 1.368863 0.985945640325 0.818561152606 0.948768601204 -0.25989011067
2 200 24 1.120624 0.984531035024 0.817421653882 0.943497890297 -0.272464224508
2.1 200 24 1.120192 0.983064382171 0.81623400548 0.938008742549 -0.284882391841
2.2 200 24 1.130112 0.981548362917 0.81499953194 0.932307877732 -0.297140029198
2.3 200 24 1.272437 0.979985705112 0.813719588352 0.926402110918 -0.309232936885
2.4 200 24 1.532121 0.978379178353 0.812395567967 0.920298327934 -0.32115730044
2.5 200 24 1.520171 0.976731564936 0.811028847551 0.914003455543 -0.332909684126
2.6 200 24 1.535618 0.975045663692 0.809620821709 0.907524440048 -0.344487029498
2.7 200 24 1.532927 0.973324270787 0.808172874242 0.900868220332 -0.355886648794
2.8 200 24 1.521003 0.971570178319 0.806686397044 0.894041707348 -0.367106218167
