# SIAM excitation B=c_0up^dag|gs> (normalized), method=star_gs
# L=100 U=0.1 V=0.1 dt=0.1 tmax=50 cutoff=1e-10 max_bond_dim=1024
# E_gs=-30.9227535891 gs_bond_dim=33 gs_wall_s=34.509359
# nrm=1  G00(t) = -i nrm^2 exp(i E_gs t) A(t)
# t  n_active  bond_dim  wall_s  n0up  n0dw  ReA  ImA
0 100 33 0.015829 0.500000000267 0.499999999701 1 0
0.1 100 23 0.541937 0.500000000153 0.499999999634 -0.998784146553 0.0492973056472
0.2 100 23 0.61784 0.500000000255 0.499999999613 0.995139548282 -0.0984747352295
0.3 100 23 0.612889 0.500000000276 0.499999999543 -0.989075067297 0.147412703685
0.4 100 23 0.610567 0.500000000256 0.499999999479 0.980605449833 -0.195992208275
0.5 100 23 0.609532 0.500000000235 0.499999999387 -0.969751291447 0.244095118082
0.6 100 23 0.585429 0.500000000209 0.499999999301 0.956538986225 -0.29160446113
0.7 100 23 0.570491 0.500000000182 0.49999999918 -0.941000662567 0.338404708819
0.8 100 23 0.456616 0.500000000152 0.499999999071 0.923174105055 -0.384382056862
0.9 100 23 0.48086 0.500000000122 0.499999998985 -0.903102662578 0.429424702017
1 100 23 0.510643 0.500000000089 0.499999998917 0.880835142918 -0.473423113961
1.1 100 23 0.44979 0.50000000006 0.499999998805 -0.856425694063 0.516270301638
1.2 100 23 0.483161 0.500000000032 0.499999998736 0.829933672536 -0.557862073425
1.3 100 23 0.462886 0.500000000009 0.499999998651 -0.801423499057 0.5980972905
1.4 100 23 0.523787 0.499999999987 0.499999998619 0.770964501894 -0.636878112775
1.5 100 23 0.607734 0.499999999973 0.499999998595 -0.738630748271 0.674110236822
1.6 100 23 0.55024 0.499999999964 0.499999998591 0.704500864266 -0.709703125183
1.7 100 23 0.545684 0.499999999964 0.499999998578 -0.66865784361 0.743570226537
1.8 100 23 0.445742 0.499999999971 0.499999998573 0.631188845873 -0.775629186162
1.9 100 23 0.557871 0.499999999989 0.499999998593 -0.592184984518 0.805802046199
2 100 23 0.598101 0.500000000016 0.499999998632 0.551741105341 -0.834015435225
2.1 100 23 0.620861 0.500000000054 0.499999998701 -0.509955555831 0.860200746664
2.2 100 23 0.463938 0.500000000102 0.499999998716 0.466929946022 -0.884294305626
2.3 100 23 0.441632 0.500000000158 0.499999998794 -0.422768901407 0.906237523738
2.4 100 23 0.459623 0.500000000224 0.499999998842 0.377579808515 -0.925977041617
2.5 100 23 0.569782 0.500000000296 0.4999999989 -0.331472553787 0.943464858626
2.6 100 23 0.440695 0.500000000373 0.499999999014 0.284559256357 -0.958658449592
2.7 100 23 0.438201 0.500000000457 0.499999999104 -0.236953995418 0.97152086822
2.8 100 23 0.439028 0.500000000547 0.499999999165 0.18877253281 -0.982020836932
2.9 100 23 0.438466 0.500000000639 0.499999999244 -0.140132031526 0.990132822926
3 100 23 0.438169 0.500000000729 0.499999999331 0.0911507708046 -0.995837100264
3.1 100 23 0.438127 0.500000000818 0.499999999398 -0.0419478585086 0.999119797839
3.2 100 23 0.438033 0.500000000902 0.499999999475 -0.00735705850745 -0.999972933107
3.3 100 23 0.439754 0.500000000981 0.499999999524 0.0566440853441 0.998394431496
3.4 100 23 0.437557 0.500000001048 0.499999999594 -0.105793370605 -0.994388131454
3.5 100 23 0.439449 0.500000001108 0.499999999643 0.154685397842 0.98796377511
3.6 100 23 0.439647 0.500000001158 0.499999999625 -0.203201276179 -0.979136984589
3.7 100 23 0.438725 0.500000001189 0.499999999681 0.251223029426 0.967929224021
3.8 100 23 0.442013 0.500000001209 0.499999999671 -0.298633882954 -0.954367747348
3.9 100 23 0.439217 0.500000001208 0.499999999692 0.345318547664 0.938485532049
4 100 23 0.437839 0.500000001197 0.499999999647 -0.39116350033 -0.92032119895
4.1 100 23 0.438413 0.500000001167 0.499999999583 0.436057259658 0.899918918307
4.2 100 23 0.437774 0.500000001123 0.499999999523 -0.479890657372 -0.877328302403
4.3 100 23 0.440413 0.50000000106 0.499999999449 0.522557103679 0.852604284898
4.4 100 23 0.438627 0.500000000979 0.499999999378 -0.563952846468 -0.825806987253
4.5 100 23 0.438111 0.500000000886 0.499999999263 0.603977223599 0.797001572527
4.6 100 23 0.452754 0.500000000781 0.499999999116 -0.642532907686 -0.766258086927
4.7 100 23 0.441365 0.500000000662 0.499999999013 0.679526142768 0.733651289468
4.8 100 23 0.441825 0.500000000538 0.49999999888 -0.714866972294 -0.699260470188
4.9 100 23 0.439921 0.500000000405 0.499999998773 0.748469457875 0.663169257335
5 100 23 0.438868 0.500000000267 0.499999998684 -0.780251888255 -0.625465414009
5.1 100 23 0.436991 0.500000000135 0.499999998562 0.810136978013 0.586240624747
5.2 100 23 0.433261 0.499999999999 0.499999998481 -0.838052055495 -0.545590272575
