# SIAM excitation B=c_0up^dag|gs> (normalized), method=star_gs
# L=100 U=0.1 V=0.1 dt=0.1 tmax=50 cutoff=1e-12 max_bond_dim=1024
# E_gs=-30.9227535891 gs_bond_dim=33 gs_wall_s=42.858751
# nrm=1  G00(t) = -i nrm^2 exp(i E_gs t) A(t)
# t  n_active  bond_dim  wall_s  n0up  n0dw  ReA  ImA
0 100 33 0.015893 0.500000000269 0.499999999701 1 0
0.1 100 31 0.655035 0.500000000254 0.499999999707 -0.998784148676 0.0492973055629
0.2 100 30 0.718162 0.500000000209 0.499999999662 0.995139551316 -0.0984747347393
0.3 100 30 0.712714 0.500000000113 0.499999999644 -0.989075070495 0.147412702645
0.4 100 30 0.715789 0.499999999963 0.499999999567 0.980605453223 -0.195992206693
0.5 100 30 0.743337 0.499999999783 0.499999999378 -0.969751295091 0.244095115978
0.6 100 30 0.726468 0.499999999637 0.499999999247 0.956538990185 -0.291604458526
0.7 100 30 0.740034 0.499999999546 0.499999999093 -0.941000666899 0.338404705746
0.8 100 30 0.737775 0.499999999501 0.49999999896 0.923174109817 -0.384382053352
0.9 100 30 0.72973 0.499999999463 0.499999998794 -0.903102667823 0.429424698108
1 100 30 0.747495 0.499999999411 0.499999998598 0.880835148697 -0.473423109697
1.1 100 30 0.719889 0.499999999348 0.499999998428 -0.856425700422 0.516270297064
1.2 100 30 0.740244 0.499999999302 0.4999999982 0.82993367952 -0.557862068592
1.3 100 30 0.732569 0.499999999276 0.499999998043 -0.801423506705 0.59809728546
1.4 100 30 0.734464 0.499999999247 0.499999997924 0.770964510241 -0.636878107586
1.5 100 30 0.736527 0.499999999154 0.499999997822 -0.73863075735 0.674110231542
1.6 100 30 0.740953 0.499999998956 0.499999997768 0.704500874104 -0.709703119875
1.7 100 30 0.730444 0.499999998664 0.499999997841 -0.668657854228 0.743570221265
1.8 100 30 0.734504 0.499999998307 0.499999997845 0.63118885729 -0.775629180992
1.9 100 30 0.741135 0.499999997923 0.499999997927 -0.592184996747 0.805802041199
2 100 30 0.738676 0.49999999756 0.499999998034 0.55174111839 -0.834015430463
2.1 100 30 0.743024 0.499999997256 0.49999999813 -0.509955569704 0.86020074221
2.2 100 30 0.722274 0.499999997028 0.499999998212 0.466929960718 -0.884294301551
2.3 100 30 0.716769 0.499999996884 0.499999998151 -0.422768916918 0.906237520112
2.4 100 30 0.718881 0.499999996799 0.499999998066 0.377579824831 -0.925977038512
2.5 100 30 0.716625 0.499999996754 0.499999997871 -0.331472570891 0.943464856112
2.6 100 30 0.725487 0.499999996711 0.499999997759 0.284559274228 -0.958658447739
2.7 100 30 0.720953 0.499999996682 0.499999997606 -0.23695401403 0.971520867097
2.8 100 30 0.74641 0.499999996693 0.499999997528 0.188772552132 -0.982020836608
2.9 100 30 0.734302 0.499999996781 0.499999997592 -0.140132051523 0.990132823467
3 100 30 0.722368 0.499999996963 0.499999997736 0.0911507914354 -0.995837101734
3.1 100 30 0.734045 0.499999997165 0.499999998232 -0.0419478797287 0.999119800302
3.2 100 30 0.715883 0.499999997368 0.499999998732 -0.0073570367475 -0.999972936623
3.3 100 30 0.733699 0.499999997531 0.499999999247 0.0566440630982 0.998394436124
3.4 100 30 0.735833 0.499999997673 0.499999999681 -0.105793347932 -0.994388137249
3.5 100 30 0.741009 0.499999997837 0.500000000089 0.154685374803 0.987963782125
3.6 100 30 0.726116 0.499999998232 0.500000000402 -0.203201252841 -0.979136992872
3.7 100 30 0.715085 0.499999998718 0.500000000707 0.251223005858 0.967929233619
3.8 100 30 0.716412 0.499999999295 0.500000001004 -0.298633859231 -0.954367758302
3.9 100 30 0.716033 0.49999999994 0.500000001246 0.345318523863 0.938485544397
4 100 30 0.719621 0.500000000625 0.500000001519 -0.391163476532 -0.920321212725
4.1 100 30 0.716376 0.500000001313 0.500000001878 0.436057235947 0.899918933539
4.2 100 30 0.716992 0.500000001996 0.500000002336 -0.479890633834 -0.877328319116
4.3 100 30 0.725124 0.500000002669 0.500000002864 0.522557080404 0.852604303111
4.4 100 30 0.735997 0.50000000325 0.500000003453 -0.563952823547 -0.82580700698
4.5 100 30 0.723671 0.500000003729 0.500000004022 0.603977201126 0.797001593778
4.6 100 30 0.743222 0.500000004068 0.500000004579 -0.642532885756 -0.766258109703
4.7 100 30 0.744591 0.500000004276 0.500000005196 0.679526121478 0.733651313768
4.8 100 30 0.752245 0.500000004391 0.500000005839 -0.714866951743 -0.699260496003
4.9 100 30 0.679511 0.500000004412 0.500000006412 0.74846943816 0.66316928465
5 100 30 0.514532 0.500000004327 0.500000006765 -0.780251869476 -0.625465442804
5.1 100 30 0.505443 0.500000004105 0.500000006878 0.810136960269 0.586240654995
5.2 100 30 0.500689 0.500000003773 0.50000000669 -0.838052038884 -0.545590304243
5.3 100 30 0.52212 0.500000003408 0.500000006352 0.863929224152 0.503613240114
5.4 100 30 0.504478 0.500000002998 0.500000005921 -0.887705590453 -0.460411538344
5.5 100 30 0.502169 0.500000002613 0.500000005298 0.909323320735 0.416090252624
5.6 100 30 0.51834 0.500000002254 0.50000000449 -0.928729847106 -0.370757159144
5.7 100 30 0.521821 0.500000001919 0.500000003564 0.945877978665 0.324522494504
5.8 100 30 0.515441 0.500000001552 0.50000000245 -0.960726016255 -0.27749868766
5.9 100 30 0.501302 0.500000001131 0.500000001289 0.973237853863 0.229800086528
6 100 30 0.506924 0.500000000724 0.500000000157 -0.983383066423 -0.18154267992
6.1 100 30 0.511511 0.500000000331 0.4999999993 0.991136983794 0.132843815501
6.2 100 30 0.499532 0.50000000007 0.499999998415 -0.996480750754 -0.0838219144257
6.3 100 30 0.502563 0.499999999906 0.499999997763 0.999401372851 0.0345961833808
6.4 100 30 0.564262 0.499999999803 0.499999997383 -0.999891748001 0.0147136752942
6.5 100 30 0.52023 0.499999999682 0.499999997165 0.997950683757 -0.0639877546863
6.6 100 30 0.644821 0.499999999454 0.499999997157 -0.99358290021 0.113106234887
6.7 100 30 0.714063 0.499999999067 0.499999997375 0.986799018512 -0.161949674359
6.8 100 30 0.647047 0.499999998526 0.499999997708 -0.977615535044 0.210399300381
6.9 100 30 0.714306 0.499999997896 0.499999998043 0.966054781308 -0.258337297872
7 100 30 0.717924 0.499999997233 0.499999998197 -0.95214486962 0.305647095876
7.1 100 30 0.722856 0.49999999658 0.499999998161 0.935919624747 -0.352213651032
7.2 100 30 0.632369 0.499999995932 0.499999997953 -0.917418501661 0.397923727327
7.3 100 30 0.634338 0.499999995233 0.499999997767 0.896686489591 -0.442666171448
7.4 100 30 0.712647 0.49999999446 0.499999997606 -0.873774002626 0.486332183075
7.5 100 30 0.70614 0.499999993614 0.499999997449 0.848736757121 -0.528815579453
7.6 100 30 0.688425 0.499999992744 0.499999997303 -0.82163563621 0.570013053596
7.7 100 30 0.584674 0.499999991921 0.49999999719 0.792536541762 -0.609824425497
7.8 100 30 0.520419 0.499999991208 0.499999997105 -0.76151023412 0.648152885738
7.9 100 30 0.514433 0.499999990638 0.499999996856 0.728632160039 -0.684905230902
8 100 30 0.50575 0.499999990205 0.499999996562 -0.693982269218 0.719992090215
8.1 100 30 0.558378 0.499999989888 0.49999999598 0.657644819887 -0.753328142867
8.2 100 30 0.591144 0.499999989667 0.499999994934 -0.619708173918 0.784832325494
8.3 100 30 0.514747 0.499999989504 0.499999993617 0.580264581952 -0.81442802929
8.4 100 30 0.51512 0.499999989361 0.499999992137 -0.539409959076 0.842043286304
8.5 100 30 0.514471 0.499999989209 0.499999990607 0.497243651584 -0.867610944445
8.6 100 30 0.520043 0.499999988987 0.499999989228 -0.453868195396 0.89106883077
8.7 100 30 0.519481 0.499999988657 0.499999988045 0.409389066723 -0.912359902675
8.8 100 30 0.589152 0.499999988183 0.499999987204 -0.36391442558 0.931432386605
8.9 100 30 0.537724 0.499999987558 0.499999986632 0.317554852771 -0.94823990395
9 100 30 0.520708 0.4999999868 0.499999986324 -0.270423080991 0.962741583826
9.1 100 30 0.518639 0.499999985948 0.499999986128 0.222633720694 -0.974902162461
9.2 100 30 0.518784 0.499999985053 0.499999986193 -0.174302981393 0.984692068943
9.3 100 30 0.662963 0.499999984205 0.499999986294 0.125548389073 -0.99208749713
9.4 100 30 0.700776 0.49999998343 0.499999986436 -0.0764885004051 0.997070463542
9.5 100 30 0.701541 0.499999982771 0.499999986444 0.0272426144497 -0.999628851084
9.6 100 30 0.704532 0.499999982268 0.499999986413 0.0220695174429 0.99975643852
9.7 100 30 0.685555 0.499999981968 0.49999998627 -0.0713279828319 -0.997452915594
9.8 100 30 0.515653 0.499999981917 0.499999986052 0.120412999777 0.99272388379
9.9 100 30 0.523128 0.499999982151 0.499999985789 -0.169205208115 -0.985580842706
10 100 30 0.57582 0.499999982702 0.499999985533 0.217585959702 0.976041162094
10.1 100 30 0.70085 0.499999983592 0.499999985396 -0.265437606939 -0.964128039621
10.2 100 30 0.589404 0.499999984805 0.499999985413 0.312643788849 0.949870444459
10.3 100 30 0.515114 0.499999986327 0.499999985532 -0.359089714035 -0.933303046837
10.4 100 30 0.519812 0.49999998814 0.499999985794 0.40466243982 0.914466133742
10.5 100 30 0.528707 0.499999990217 0.499999986258 -0.449251146884 -0.893405510944
10.6 100 30 0.518477 0.499999992438 0.49999998703 0.492747408753 0.870172391615
10.7 100 30 0.523663 0.499999994791 0.49999998794 -0.535045455452 -0.844823271792
10.8 100 30 0.685184 0.499999997186 0.499999988933 0.57604243071 0.817419792997
