# SIAM excitation evolution, spin_block FBR
# n0(t=0)=1  E_gs(ref)=-30.8994525853
# t  n_active  bond_dim  wall_s  n0  energy
0 20 15 0.002136 1 -1000
0.1 15 9 0.055415 0.999962127035 -0.0548124899046
0.2 13 8 0.062458 0.999848609914 -0.0548518035374
0.3 13 8 0.050759 0.999659751788 -0.054930274176
0.4 12 7 0.050706 0.999396057135 -0.0550476097863
0.5 14 7 0.049375 0.999058228715 -0.0552033721204
0.6 14 7 0.059814 0.998647163966 -0.0553969810011
0.7 14 7 0.051683 0.99816395139 -0.0556277169085
0.8 14 7 0.052005 0.99760986476 -0.0558947244127
0.9 14 7 0.051932 0.996986357564 -0.0561970175045
1 14 7 0.051891 0.996295055966 -0.0565334842589
1.1 14 7 0.052578 0.995537751006 -0.0569028930663
1.2 14 7 0.052466 0.994716390254 -0.0573038989298
1.3 12 7 0.052542 0.993833068707 -0.0577350506012
1.4 16 7 0.050088 0.992890019058 -0.0581948004397
1.5 14 7 0.048085 0.991889601377 -0.0586815050289
1.6 16 7 0.052754 0.990834291991 -0.0591934481562
1.7 16 7 0.055639 0.989726672503 -0.0597288326157
1.8 14 7 0.055724 0.988569417646 -0.0602857840046
1.9 15 7 0.053153 0.987365283658 -0.0608624003899
2 15 7 0.054167 0.986117095479 -0.0614567271092
2.1 15 7 0.054272 0.984827735087 -0.0620667978699
2.2 16 7 0.054012 0.983500127997 -0.0626905764253
2.3 14 7 0.055508 0.982137231106 -0.063326032455
2.4 14 8 0.052605 0.980742019193 -0.0639710746733
2.5 14 8 0.060486 0.979317472224 -0.0646238024019
2.6 14 8 0.052774 0.977866564837 -0.0652821359134
2.7 13 8 0.060868 0.976392253224 -0.0659440868358
2.8 13 8 0.059706 0.974897462727 -0.0666076970612
2.9 13 8 0.059818 0.97338507674 -0.0672710571077
3 14 8 0.059706 0.971857925504 -0.0679323067017
3.1 14 8 0.053034 0.970318775395 -0.068589645006
3.2 14 8 0.053033 0.968770318629 -0.0692413417316
3.3 14 8 0.053695 0.967215163854 -0.0698857295117
3.4 14 8 0.053207 0.965655827773 -0.0705212422067
3.5 14 9 0.061046 0.964094725786 -0.0711463783571
3.6 14 9 0.06111 0.962534165073 -0.071759758294
3.7 14 9 0.060992 0.960976337999 -0.0723600804557
3.8 14 9 0.053343 0.959423315323 -0.0729461510046
3.9 14 9 0.061149 0.957877041782 -0.0735168824756
4 14 9 0.053261 0.956339330836 -0.0740712958042
4.1 14 9 0.053094 0.954811860909 -0.0746085254288
4.2 14 9 0.053292 0.953296173509 -0.0751278188272
4.3 15 9 0.061183 0.951793670301 -0.0756285371986
4.4 16 9 0.054631 0.950305611872 -0.0761101564723
4.5 16 9 0.056291 0.948833116926 -0.076572265038
4.6 16 9 0.056324 0.947377165013 -0.0770145658461
4.7 16 9 0.048077 0.945938594157 -0.0774368713826
4.8 16 9 0.064437 0.944518103961 -0.0778391013031
4.9 16 9 0.048068 0.943116259394 -0.0782212841217
5 16 9 0.056813 0.94173349247 -0.078583549414
5.1 16 9 0.065366 0.940370108155 -0.078926129618
5.2 16 9 0.064676 0.939026286614 -0.0792493401632
5.3 16 9 0.048208 0.937702089433 -0.0795535932622
5.4 16 9 0.056925 0.93639746522 -0.0798393818782
5.5 16 9 0.056682 0.935112255863 -0.0801072755521
5.6 16 9 0.048284 0.933846202374 -0.0803579161083
5.7 16 9 0.048336 0.932598952553 -0.0805920097579
5.8 16 9 0.065131 0.931370067688 -0.0808103218824
5.9 15 9 0.06512 0.93015902997 -0.081013665596
6 15 9 0.063771 0.928965250425 -0.0812028990947
6.1 15 9 0.055882 0.927788076426 -0.0813789178816
6.2 15 9 0.063607 0.926626801063 -0.0815426564267
6.3 15 9 0.055953 0.925480668815 -0.0816950586519
6.4 15 9 0.055828 0.924348886201 -0.0818370935281
6.5 15 10 0.063989 0.923230627803 -0.0819697342842
6.6 15 10 0.063746 0.922125044489 -0.082093958186
6.7 13 10 0.055935 0.921031270935 -0.0822107352131
