# SIAM excitation evolution, spin-symmetric FBR
# n0(t=0)=1  E_gs(ref)=-158.222021525
# t  n_active  bond_dim  wall_s  n0  energy
0 24 28 0.297887 1 -1000
0.1 22 17 0.786761 0.559803323853 -0.0528734260242
0.2 20 15 0.947806 0.55978832614 -0.0529129797387
0.3 18 14 0.900869 0.559763348895 -0.0529919275805
0.4 16 14 0.870886 0.559728437946 -0.0530147059809
0.5 16 14 0.667694 0.559683636739 -0.0532015664501
0.6 16 14 0.67176 0.559629009916 -0.05323985714
0.7 16 14 0.70394 0.559564634609 -0.0535194894642
0.8 16 14 0.708243 0.559490601319 -0.0535742770151
0.9 16 14 0.705894 0.559407013108 -0.0539451106108
1 16 14 0.704171 0.559313985523 -0.0540175267209
1.1 16 14 0.707042 0.559211645629 -0.0544771737953
1.2 16 14 0.708779 0.559100131855 -0.0545685816134
1.3 16 14 0.699517 0.558979592964 -0.0551138829866
1.4 16 14 0.703135 0.558850187777 -0.0552256690837
1.5 16 14 0.696101 0.558712084089 -0.0558526333714
1.6 16 14 0.66574 0.558565458315 -0.0559861764403
1.7 16 14 0.668435 0.558410494383 -0.0566899424366
1.8 16 14 0.668973 0.558247383258 -0.0568466206632
1.9 16 14 0.679908 0.558076321874 -0.0576214216683
2 16 14 0.675968 0.5578975126 -0.0578027145486
2.1 16 14 0.679094 0.557711162201 -0.0586419777674
2.2 16 14 0.679136 0.557517481231 -0.0588494980067
2.3 16 14 0.677596 0.557316683037 -0.0597458267613
2.4 16 14 0.6749 0.557108983169 -0.0599814260997
2.5 16 14 0.674216 0.556894598407 -0.0609266924526
2.6 16 14 0.679807 0.556673746194 -0.0611925179226
2.7 16 14 0.673602 0.556446643724 -0.0621779693703
2.8 16 14 0.674633 0.556213507403 -0.0624764348086
2.9 16 14 0.673752 0.555974552017 -0.0634928164039
3 16 14 0.674094 0.555729990234 -0.0638264560504
3.1 16 14 0.675653 0.555480031847 -0.0648641387005
3.2 16 14 0.679214 0.555224883359 -0.0652353196736
3.3 16 14 0.67681 0.554964747304 -0.0662844276451
3.4 16 14 0.674511 0.554699821893 -0.0666949387712
3.5 16 14 0.673526 0.554430300451 -0.0677454666534
3.6 16 14 0.67891 0.554156371123 -0.0681960401881
3.7 20 14 0.681481 0.553878216421 -0.0692437448425
3.8 20 14 0.893218 0.553596012871 -0.0700072943262
3.9 20 14 0.885347 0.553309932133 -0.0707655370675
4 18 14 0.894287 0.553020137121 -0.071516440166
4.1 18 14 0.870361 0.552726785434 -0.0720754341254
4.2 18 14 0.683388 0.552430024564 -0.0730274559842
4.3 18 14 0.683812 0.552130000878 -0.0736386186704
4.4 18 14 0.687364 0.551826851503 -0.0745243825496
4.5 16 14 0.706196 0.551520706504 -0.075178927958
4.6 16 14 0.895895 0.551216398587 -0.075955134156
4.7 16 14 0.886059 0.550904853124 -0.0766842126354
4.8 16 14 0.89237 0.550590673981 -0.077399922767
4.9 16 14 0.893023 0.550273963578 -0.0781003618543
5 16 14 0.895849 0.54995481668 -0.0787836861295
5.1 16 14 0.898642 0.549633321862 -0.079448126017
5.2 16 14 0.894042 0.549309561739 -0.0800919993992
5.3 16 14 0.902003 0.548983613225 -0.0807137235963
5.4 16 14 0.885393 0.548655547717 -0.0813118227017
5.5 16 14 0.898513 0.54832543141 -0.0818849357736
5.6 16 14 0.901808 0.547993325764 -0.0824318226792
5.7 16 14 0.853135 0.547659287259 -0.0829513689778
5.8 16 14 0.871559 0.547323367998 -0.08344258973
5.9 16 14 0.85711 0.546985616447 -0.0839046308106
6 16 14 0.860179 0.546646077158 -0.0843367715914
6.1 16 14 0.859156 0.546304791234 -0.0847384255728
6.2 16 14 0.888359 0.545961796644 -0.0851091390163
6.3 16 14 0.890412 0.545617128888 -0.0854485903645
6.4 16 14 0.892292 0.545270820232 -0.0857565912367
6.5 16 14 0.883832 0.54492290101 -0.086033082862
6.6 16 14 0.888014 0.544573399936 -0.0862781261718
6.7 16 14 0.892375 0.544222343408 -0.0864919057784
6.8 16 14 0.869353 0.543869756739 -0.0866747234485
6.9 16 14 0.85275 0.543515664212 -0.0868269957804
7 18 14 0.848857 0.543160089128 -0.086949245643
7.1 18 14 0.68577 0.54280271588 -0.0870960873969
7.2 18 14 0.685743 0.542443907441 -0.0871089528523
7.3 20 13 0.692156 0.542083685727 -0.0872008207014
7.4 20 14 0.881815 0.541722072792 -0.0871563516103
7.5 20 15 0.883861 0.541359091124 -0.0870817137619
7.6 20 15 0.699462 0.540994762941 -0.0869785388844
7.7 20 15 0.896891 0.540629111307 -0.0868486691676
7.8 20 15 0.727463 0.540262159126 -0.0866938798862
7.9 20 15 0.730029 0.539893930646 -0.0865162945557
8 20 15 0.728671 0.539524450704 -0.0863177763598
8.1 20 16 0.72933 0.539153744895 -0.0861005977919
8.2 20 15 0.927528 0.538781843684 -0.0858669127493
8.3 20 15 0.940298 0.538408775989 -0.0856188755244
8.4 20 15 0.712186 0.538034555014 -0.0853584721333
8.5 20 15 0.709573 0.53765921945 -0.0850884203519
