# SIAM impurity greater Green function, spin-symmetric FBR
# L=500 U=0.025 V=0.1 dt=0.1 tmax=250 E_gs=-158.222021525
# t  n_active  bond_dim  wall_s  ReG00  ImG00  n0  ReC0n  ImC0n  E_psi0  E_B
0 24 33 0.610044 0 -0.499999994143 0.50000000823 -0.236855150443 0 -1000 -1000
0.1 28 27 1.870361 -0.00244327020073 -0.499974588008 0.500000008247 -0.236855250943 7.487823153e-10 -0.101739660365 -0.052873429615
0.2 32 24 2.024033 -0.00488432592574 -0.499898434467 0.500000008324 -0.236855503722 1.49353934276e-09 -0.101739731972 -0.0529129726389
0.3 36 23 2.145619 -0.00732096121061 -0.499771729254 0.500000008421 -0.236855901759 2.59022249957e-09 -0.101739862491 -0.0529919055295
0.4 40 23 2.151382 -0.00975098746751 -0.499594797309 0.500000008599 -0.236856445331 6.55269307855e-09 -0.101740051846 -0.0531099313035
0.5 44 22 1.858529 -0.0121722427964 -0.499368091082 0.500000008872 -0.236857120578 1.01077357583e-08 -0.101740294432 -0.0532666075391
0.6 48 22 1.971467 -0.0145825999407 -0.499092188729 0.500000009294 -0.23685793047 1.72227581862e-08 -0.101740591364 -0.0534613478932
0.7 40 22 2.410095 -0.0169799749634 -0.498767790761 0.5000000098 -0.236858870745 2.07817978904e-08 -0.10174094158 -0.0536934259581
0.8 44 24 2.203711 -0.0193623354941 -0.498395716462 0.500000010358 -0.236859930812 2.58061576139e-08 -0.101741340575 -0.0539619790428
0.9 48 23 2.324134 -0.0217277082419 -0.497976900596 0.50000001096 -0.236861111298 2.74267725649e-08 -0.101741789266 -0.0542660110609
1 52 24 2.557996 -0.0240741865331 -0.497512388464 0.500000011596 -0.236862400697 2.86051568989e-08 -0.101742282988 -0.0546043998439
1.1 56 23 2.7584 -0.0263999373003 -0.497003330021 0.500000012254 -0.236863792033 2.91589528227e-08 -0.101742819012 -0.0549759032837
1.2 60 23 2.972359 -0.0287032078496 -0.496450975266 0.500000012912 -0.236865275555 2.80269507562e-08 -0.101743393593 -0.0553791634178
1.3 52 24 3.177974 -0.0309823326858 -0.495856667769 0.500000013533 -0.236866839271 2.5148084178e-08 -0.101744002153 -0.055812716783
1.4 56 23 2.8905 -0.0332357377632 -0.495221837812 0.500000014046 -0.23686847965 1.90853167364e-08 -0.101744643079 -0.0562750005389
1.5 60 23 3.021399 -0.0354619473159 -0.494547996047 0.500000014421 -0.23687018401 1.07231237136e-08 -0.101745311555 -0.0567643602521
1.6 64 24 3.209908 -0.0376595878816 -0.493836726033 0.500000014605 -0.23687194379 1.0967750254e-11 -0.10174600411 -0.0572790594526
1.7 68 23 3.380689 -0.0398273920724 -0.493089676221 0.500000014562 -0.236873747171 -1.22034692693e-08 -0.101746716114 -0.0578172884701
1.8 64 24 3.465281 -0.0419642033035 -0.492308553122 0.50000001425 -0.236875585127 -2.72902104761e-08 -0.101747443993 -0.0583771730777
1.9 68 24 3.349912 -0.0440689772087 -0.491495112145 0.500000013605 -0.236877447041 -4.48959375799e-08 -0.101748183665 -0.0589567853087
2 72 25 3.48797 -0.0461407845359 -0.490651151372 0.50000001261 -0.236879321488 -6.36505533952e-08 -0.101748930439 -0.0595541524673
