# t  n_active  bond_dim  wall_s  n0  drift
0 4 2 0.000378 0.500001459387 0
0.1 4 4 0.050418 0.500001372349 0.377768961533
0.2 8 4 0.051852 0.501925342735 0.427663161746
0.3 4 8 0.054549 0.499708582662 0.532178737678
0.4 8 15 0.0434 0.501303828684 0.530860527268
0.5 8 8 0.072761 0.503320889313 0.234471272212
0.6 12 15 0.097927 0.588309369007 0.426308289223
0.7 8 15 0.136288 0.507758478646 0.511145573593
0.8 12 28 0.119724 0.433327075877 0.530426238063
0.9 16 26 0.147046 0.508263798112 0.531611954566
1 16 42 0.318934 0.431972336665 0.516288600661
1.1 20 50 0.328018 0.505969407317 0.476135531629
1.2 20 57 0.908555 0.436491016512 0.517431996421
1.3 24 84 0.75678 0.506763609793 0.46539392548
1.4 28 180 3.810352 0.432231283797 0.482127017604
1.5 28 296 18.353519 0.510559203021 0.52959647818
1.6 32 458 255.925376 0.436233209523 0.492562969516
