# t  n_active  bond_dim  wall_s  n0  drift
0 4 2 6.40000000001e-05 0.500000246358 0
0.1 4 2 0.024885 0.500000246358 1.06287788633e-07
0.2 4 2 0.017376 0.500000246358 3.58936161383e-07
0.3 4 2 0.01732 0.500000246358 7.56284515076e-07
0.4 4 2 0.017399 0.500000246358 1.29572398739e-06
0.5 4 2 0.017407 0.500000246357 1.97371751102e-06
0.6 4 2 0.024467 0.500000246355 2.78582698306e-06
0.7 4 2 0.017365 0.500000246354 3.72674730531e-06
0.8 4 2 0.024471 0.500000246352 4.79034701767e-06
0.9 4 2 0.017324 0.50000024635 5.96971515907e-06
1 4 2 0.017382 0.500000246348 7.25721397284e-06
1.1 4 2 0.017473 0.500000246349 8.64453698927e-06
1.2 4 2 0.024551 0.500000246352 1.01227720057e-05
1.3 4 2 0.0174 0.500000246361 1.16824684183e-05
1.4 4 2 0.024461 0.500000246376 1.33137083444e-05
1.5 4 2 0.024425 0.500000246402 1.5006180929e-05
1.6 4 2 0.024482 0.500000246442 1.67492592198e-05
1.7 4 2 0.017552 0.500000246501 1.85320789644e-05
1.8 4 2 0.017366 0.500000246583 2.03436186779e-05
1.9 4 2 0.024613 0.500000246696 2.21727803213e-05
2 4 2 0.024507 0.500000246846 2.40084699307e-05
