# SIAM ground state evolution, spin-symmetric FBR
# n0(t=0)=0.500000002492  E_gs(ref)=-30.8994525853
# t  n_active  bond_dim  wall_s  n0  energy
0 20 14 0.00243800000001 0.500000002492 -1000
0.1 16 11 0.183542 0.500000002466 -0.10526843427
0.2 16 11 0.161473 0.500000002456 -0.105268500011
0.3 16 11 0.160013 0.500000002466 -0.105268628243
0.4 16 10 0.162249 0.500000002323 -0.105268812072
0.5 16 10 0.158315 0.50000000217 -0.105269058146
0.6 16 9 0.158028 0.500000002086 -0.105269358424
0.7 14 9 0.15747 0.500000001913 -0.105269710029
0.8 14 9 0.148868 0.500000001657 -0.105270106633
0.9 12 8 0.14797 0.500000001525 -0.105270556525
1 12 8 0.098847 0.500000001248 -0.105271050309
1.1 12 8 0.099837 0.500000001003 -0.105271585392
1.2 12 7 0.098496 0.500000000681 -0.105272158851
1.3 12 7 0.098558 0.500000000421 -0.105272767363
1.4 12 7 0.099478 0.500000000111 -0.105273407074
1.5 12 7 0.097855 0.499999999791 -0.105274073778
1.6 12 7 0.098532 0.499999999464 -0.10527476336
1.7 12 7 0.097552 0.499999999131 -0.105275471584
1.8 12 7 0.097361 0.499999998796 -0.105276194146
1.9 12 7 0.097902 0.499999998459 -0.105276926699
2 12 7 0.095073 0.499999998125 -0.105277664875
2.1 12 7 0.101595 0.499999997795 -0.105278404323
2.2 12 7 0.098792 0.499999997472 -0.105279140736
2.3 12 7 0.098598 0.499999997157 -0.105279869883
2.4 12 7 0.097223 0.499999996854 -0.105280587637
2.5 12 7 0.096794 0.499999996564 -0.105281290005
2.6 12 7 0.096998 0.499999996289 -0.105281973152
2.7 12 7 0.097719 0.499999996031 -0.105282633428
2.8 12 7 0.098329 0.499999995793 -0.105283267393
2.9 12 7 0.098858 0.499999995575 -0.105283871834
3 12 7 0.09809 0.49999999538 -0.105284443792
3.1 12 7 0.101459 0.499999995195 -0.105284980181
3.2 12 7 0.142061 0.499999994952 -0.105285479514
3.3 12 7 0.140712 0.499999994741 -0.105285939133
3.4 12 7 0.140638 0.499999994566 -0.105286357226
3.5 12 7 0.141042 0.499999994433 -0.105286732301
3.6 12 7 0.139132 0.499999994343 -0.105287063181
3.7 12 7 0.139907 0.499999994299 -0.105287349011
3.8 12 7 0.138827 0.499999994306 -0.105287589257
3.9 12 7 0.140051 0.499999994364 -0.105287783707
4 12 7 0.140034 0.499999994478 -0.105287932464
4.1 12 7 0.139379 0.499999994648 -0.105288035941
4.2 12 7 0.139809 0.499999994878 -0.105288094852
4.3 12 7 0.141503 0.499999995169 -0.105288110197
4.4 12 7 0.139395 0.499999995523 -0.105288083254
4.5 12 7 0.139201 0.499999995942 -0.105288015562
4.6 12 7 0.139857 0.499999996426 -0.105287908904
4.7 12 7 0.139811 0.499999996978 -0.105287765288
4.8 12 7 0.139588 0.499999997596 -0.105287586926
4.9 12 7 0.13898 0.499999998283 -0.10528737622
5 12 7 0.139146 0.499999999036 -0.105287135731
5.1 12 7 0.140229 0.499999999857 -0.10528686816
5.2 12 7 0.14012 0.500000000745 -0.105286576329
5.3 12 7 0.139996 0.500000001697 -0.105286263149
5.4 12 7 0.140116 0.500000002713 -0.105285931603
5.5 12 7 0.139132 0.50000000379 -0.105285584717
5.6 12 7 0.138989 0.500000004926 -0.105285225539
5.7 12 7 0.138844 0.500000006118 -0.105284857116
5.8 12 7 0.140091 0.500000007362 -0.105284482468
5.9 12 7 0.139939 0.500000008654 -0.105284104568
6 12 7 0.139568 0.500000009991 -0.105283726321
6.1 12 7 0.138688 0.500000011367 -0.105283350539
6.2 12 7 0.138786 0.500000012776 -0.105282979938
