# IRLM quench (site 0 full, site 1 empty, bath Fermi sea), method=chain
# L=200 U=0.2 V=0.1 dt=0.1 tmax=100 cutoff=1e-10 max_bond_dim=1024
# t  n_active  bond_dim  wall_s  n0  n1
0 200 166 0.000236000000001 1 0
0.1 200 149 10.174568 0.999900055474 0.00134847167356
0.2 200 141 9.45948 0.999600885378 0.00537559405552
0.3 200 137 8.680241 0.999104471299 0.0120268170562
0.4 200 133 8.227992 0.998414086539 0.0212123160168
0.5 200 132 7.904693 0.997534252304 0.0328086207308
0.6 200 132 7.727511 0.996470677161 0.0466608546933
0.7 200 132 7.551876 0.995230181493 0.0625855242194
0.8 200 131 7.374002 0.993820607839 0.0803737993048
0.9 200 129 7.294806 0.992250718514 0.0997952297757
1 200 129 7.159611 0.990530083008 0.120601791576
1.1 200 129 7.074722 0.988668956433 0.142532213567
1.2 200 129 7.098681 0.986678150748 0.165316503652
1.3 200 129 7.043392 0.984568902168 0.188680493755
1.4 200 129 6.93086 0.982352735669 0.212350402363
1.5 200 127 6.845198 0.980041329586 0.236057289318
1.6 200 126 6.809648 0.977646382153 0.259541382946
1.7 200 125 6.81885 0.975179482017 0.282556057516
1.8 200 125 6.739094 0.972651984467 0.304871472004
1.9 200 125 6.707453 0.970074895933 0.326277831649
2 200 125 6.746983 0.967458768043 0.346588199607
2.1 200 125 6.639125 0.964813601598 0.365640698342
2.2 200 125 7.605574 0.96214876295 0.383300274357
2.3 200 124 6.563773 0.959472913261 0.399459857378
2.4 200 123 6.447147 0.956793951793 0.414040953398
2.5 200 122 6.502822 0.954118969353 0.42699357443
2.6 200 122 6.453965 0.951454221026 0.438295822681
2.7 200 122 6.524336 0.948805109691 0.447952835624
2.8 200 122 6.586144 0.946176182844 0.455995230312
2.9 200 122 6.514333 0.943571142506 0.46247719811
3 200 122 6.457333 0.940992867488 0.467474184963
3.1 200 122 6.560574 0.938443446301 0.471080266612
3.2 200 122 8.412205 0.935924217091 0.47340526281
3.3 200 122 7.452252 0.933435817515 0.474571688374
3.4 200 122 6.621262 0.93097824616 0.474711742453
3.5 200 122 6.605989 0.928550920454 0.473964046775
3.6 200 122 6.596073 0.926152747039 0.472470632967
3.7 200 122 6.58085 0.92378218985 0.470373917535
3.8 200 122 6.588834 0.921437340158 0.467813893136
3.9 200 122 6.568338 0.919115989861 0.464925582894
4 200 122 6.573266 0.916815697377 0.461836664294
4.1 200 122 6.614633 0.914533855895 0.458665489108
4.2 200 122 6.60862 0.912267757421 0.455519412084
4.3 200 122 6.549717 0.910014649701 0.452493450354
4.4 200 122 6.516003 0.907771791847 0.449669344147
4.5 200 122 6.482532 0.905536500294 0.447114948595
4.6 200 122 6.515833 0.903306190725 0.444883984662
4.7 200 122 6.57772 0.901078413188 0.443016149841
4.8 200 121 6.559839 0.89885088398 0.441537555449
4.9 200 121 6.600994 0.896621508639 0.440461405246
5 200 121 6.683146 0.894388393572 0.439788937354
5.1 200 120 6.727485 0.892149860116 0.439510580282
5.2 200 120 6.762994 0.889904445123 0.439607263115
5.3 200 120 6.834094 0.887650910475 0.440051907814
5.4 200 120 6.872062 0.885388241518 0.440810948591
5.5 200 120 6.886538 0.883115635254 0.441845857675
5.6 200 120 6.92037 0.880832485871 0.44311467438
5.7 200 120 6.970751 0.87853837461 0.444573513515
5.8 200 120 6.912896 0.876233061169 0.44617798798
5.9 200 120 6.896053 0.873916459551 0.447884476649
6 200 120 6.902338 0.871588627833 0.449651295751
6.1 200 120 6.905321 0.869249751252 0.451439685437
6.2 200 120 6.880676 0.866900124246 0.453214613329
6.3 200 120 6.876163 0.864540134444 0.454945410296
6.4 200 120 6.822156 0.862170248078 0.456606206624
6.5 200 120 6.748576 0.859791010301 0.45817622183
6.6 200 120 6.750469 0.857403018806 0.459639808176
6.7 200 120 6.779732 0.855006917935 0.460986375928
6.8 200 120 6.843 0.852603391729 0.462210165627
6.9 200 120 6.830823 0.850193155982 0.463309884059
7 200 120 6.807921 0.847776955404 0.464288241203
7.1 200 120 6.784499 0.845355554171 0.465151389868
7.2 200 120 6.766364 0.842929736791 0.465908323226
7.3 200 120 6.830468 0.840500303109 0.466570223064
7.4 200 120 6.802108 0.838068070503 0.467149814146
7.5 200 120 6.821388 0.835633860411 0.467660698396
7.6 200 120 6.835957 0.833198515047 0.468116767982
7.7 200 120 6.848287 0.830762877064 0.468531615555
7.8 200 120 6.884103 0.828327810261 0.468918068171
7.9 200 120 6.900169 0.825894177125 0.469287729373
8 200 120 6.823144 0.823462850301 0.469650664529
8.1 200 120 6.49464 0.821034700426 0.470015138356
8.2 200 120 6.730607 0.818610597196 0.470387464419
8.3 200 120 6.800418 0.816191401674 0.470771933565
8.4 200 120 6.474053 0.813777967708 0.471170839221
8.5 200 119 6.327742 0.811371129731 0.471584566366
8.6 200 119 6.358677 0.808971697543 0.472011758504
8.7 200 118 6.338563 0.806580460979 0.472449553315
8.8 200 118 6.508399 0.804198169363 0.472893835197
8.9 200 118 6.343171 0.801825534221 0.473339550102
9 200 118 6.335883 0.79946321824 0.473781017702
9.1 200 118 6.324996 0.79711183583 0.4742122679
9.2 200 118 6.389146 0.794771939261 0.474627350499
9.3 200 118 6.483489 0.792444016236 0.475020639901
9.4 200 118 6.345296 0.790128487195 0.475387107381
9.5 200 118 6.283809 0.787825712341 0.475722564354
9.6 200 118 6.284203 0.785535973149 0.476023835915
9.7 200 118 6.334343 0.783259457343 0.476288892945
9.8 200 118 6.360425 0.780996308671 0.476516977464
9.9 200 118 6.354063 0.778746596611 0.476708610574
10 200 118 6.342019 0.776510307376 0.476865566435
10.1 200 118 6.349598 0.774287362388 0.47699081821
10.2 200 117 6.341758 0.772077621337 0.477088425187
10.3 200 117 6.334697 0.76988088324 0.477163381179
10.4 200 116 6.308271 0.767696910712 0.477221444574
10.5 200 116 6.327413 0.765525384024 0.477268901297
10.6 200 116 6.325225 0.763365967995 0.477312384857
10.7 200 116 6.345463 0.761218290339 0.477358632498
10.8 200 116 6.335253 0.759081955048 0.477414263763
10.9 200 116 6.326045 0.756956542683 0.477485568779
11 200 116 6.325403 0.754841623695 0.477578307846
11.1 200 115 6.336366 0.752736763887 0.477697544039
11.2 200 115 6.336817 0.750641532554 0.477847498255
11.3 200 115 6.34433 0.748555507731 0.478031437518
11.4 200 115 6.350673 0.746478285468 0.478251600242
11.5 200 114 6.361628 0.744409478417 0.478509157854
11.6 200 114 6.358484 0.742348717787 0.478804206359
11.7 200 114 6.354083 0.740295668451 0.479135807011
11.8 200 114 6.359832 0.738250021876 0.47950204661
11.9 200 114 6.362533 0.736211512237 0.479900136699
12 200 114 6.367558 0.734179892623 0.480326523693
12.1 200 114 6.363012 0.732154960401 0.480777036178
12.2 200 114 6.364332 0.730136547064 0.481247032655
12.3 200 114 6.367412 0.728124518516 0.481731562271
12.4 200 114 6.369943 0.72611877548 0.48222552772
12.5 200 114 6.379318 0.724119258841 0.482723845262
12.6 200 114 6.384507 0.722125934422 0.483221592865
12.7 200 114 6.382754 0.720138800219 0.483714148059
