# IRLM quench (site 0 full, site 1 empty, bath Fermi sea), method=fbr
# L=200 U=0.2 V=0.1 dt=0.1 tmax=100 cutoff=1e-10 max_bond_dim=1024
# t  n_active  bond_dim  wall_s  n0  n1
0 2 1 0.03521 1 0
0.1 4 3 0.048089 0.999900055462 0.00134959983198
0.2 4 4 0.050278 0.999600885598 0.00538007579932
0.3 4 4 0.065246 0.999104473104 0.0120367898262
0.4 4 4 0.050752 0.998414093121 0.0212297835954
0.5 4 4 0.050768 0.997534268976 0.032835411037
0.6 4 4 0.05057 0.996470712129 0.0466985749951
0.7 4 4 0.050999 0.995230246387 0.0626355201334
0.8 4 4 0.050914 0.993820718165 0.0804371228821
0.9 4 4 0.050857 0.992250894155 0.0998726085459
1 4 4 0.050884 0.990530348515 0.120693617643
1.1 4 4 0.050599 0.988669340911 0.142638536731
1.2 4 4 0.050853 0.986678688099 0.165437003516
1.3 6 4 0.050475 0.984569630857 0.188814494088
1.4 6 4 0.052907 0.982353698339 0.212496898444
1.5 6 5 0.068507 0.980042573054 0.23621499442
1.6 6 5 0.053719 0.977647956416 0.259708728021
1.7 6 5 0.068333 0.975181439828 0.282731221812
1.8 6 5 0.053339 0.9726543809 0.305052436418
1.9 6 5 0.054081 0.970077787672 0.326462415636
2 6 6 0.068064 0.967462212253 0.346774062261
2.1 6 6 0.053258 0.964817654893 0.365825470522
2.2 6 6 0.068213 0.962153480796 0.383481596709
2.3 6 6 0.067889 0.959478348892 0.399635417995
2.4 6 6 0.05339 0.956800154323 0.414208519772
2.5 6 6 0.053749 0.954125984746 0.427151111155
2.6 6 6 0.054668 0.951462091077 0.43844150165
2.7 6 6 0.055534 0.948813870776 0.448085207468
2.8 6 7 0.070141 0.946185866231 0.456113104014
2.9 6 7 0.055491 0.943581772571 0.462579678714
3 6 7 0.055616 0.941004461452 0.467560675467
3.1 6 7 0.055434 0.938456012371 0.471150466929
3.2 6 7 0.055637 0.935937755693 0.47345918932
3.3 6 7 0.071356 0.9334503227 0.474609705953
3.4 6 7 0.070757 0.93099370323 0.474734489383
3.5 6 7 0.055716 0.928567308208 0.47397246736
3.6 8 7 0.05604 0.926170037284 0.472465921207
3.7 7 7 0.059516 0.923800348229 0.470357515106
3.8 7 7 0.072295 0.921456327312 0.467787444552
3.9 7 7 0.073304 0.919135761098 0.464890859674
4 8 7 0.072635 0.916836204806 0.461795544224
4.1 8 7 0.059549 0.914555049127 0.458619902883
4.2 8 7 0.059037 0.912289583381 0.455471284725
4.3 8 7 0.059425 0.910037053867 0.452444668076
4.4 8 7 0.0594 0.907794718536 0.449621685105
4.5 8 7 0.074849 0.905559893461 0.447070053371
4.6 8 7 0.059075 0.903329995148 0.444843339601
4.7 8 7 0.074422 0.901102576609 0.442981058943
4.8 8 7 0.059286 0.898875353771 0.441509099075
4.9 8 8 0.059895 0.896646233217 0.44044042928
5 8 10 0.074265 0.894413325028 0.439776033916
5.1 8 10 0.074309 0.892174954373 0.439506101941
5.2 8 11 0.074732 0.889929667421 0.439611355044
5.3 8 11 0.074983 0.887676232133 0.440064479345
5.4 8 12 0.074397 0.8854136344 0.440831669403
5.5 8 12 0.074743 0.883141073447 0.441874173994
5.6 8 12 0.06063 0.88085794509 0.443149854595
5.7 8 12 0.074975 0.878563835361 0.444614684728
5.8 8 12 0.075643 0.876258503825 0.446224151771
5.9 8 12 0.060067 0.873941868474 0.447934556052
6 8 12 0.061216 0.871613989469 0.449704160376
6.1 9 12 0.076545 0.869275053009 0.451494200068
6.2 10 12 0.078203 0.866925354242 0.453269663337
6.3 9 12 0.081794 0.864565286056 0.454999934623
6.4 10 13 0.079469 0.862195322056 0.456659229874
6.5 10 13 0.066396 0.859816002697 0.458226844323
6.6 9 13 0.081983 0.857427926431 0.45968724681
6.7 9 13 0.080168 0.855031738823 0.461029970196
6.8 9 13 0.064847 0.852628124507 0.462249392282
6.9 9 13 0.067092 0.850217799841 0.463344364705
7 10 13 0.081259 0.847801507856 0.46431773798
7.1 10 13 0.067729 0.845380013557 0.465175803982
7.2 10 13 0.068468 0.842954100333 0.465927696988
7.3 10 13 0.083107 0.840524568566 0.466584727188
7.4 10 14 0.068144 0.838092234273 0.467159724169
7.5 10 14 0.067908 0.83565792435 0.467666389486
7.6 10 14 0.083272 0.833222478296 0.46811869774
7.7 10 14 0.068749 0.83078674666 0.468530308901
7.8 10 15 0.084064 0.828351588098 0.468914074327
7.9 10 15 0.083601 0.825917867955 0.46928162308
8 10 15 0.068851 0.823486457112 0.46964300925
8.1 10 15 0.084177 0.821058227705 0.4700064761
8.2 10 15 0.08423 0.818634049669 0.470378298977
8.3 10 15 0.06961 0.816214786643 0.470762716308
8.4 10 15 0.085414 0.813801291683 0.471161958543
8.5 10 15 0.069599 0.811394400975 0.471576335307
8.6 10 15 0.084549 0.808994929035 0.472004418179
8.7 10 15 0.069838 0.806603662234 0.472443250717
8.8 10 15 0.085179 0.804221352118 0.472888633898
8.9 10 15 0.085369 0.801848710067 0.47333543679
9 10 15 0.069582 0.799486399965 0.47377790771
9.1 10 15 0.085712 0.797135032302 0.474210010737
9.2 10 15 0.08502 0.794795160918 0.474625737776
9.3 10 15 0.070213 0.792467275841 0.475019421832
9.4 10 17 0.085621 0.790151799849 0.47538600444
9.5 10 16 0.08596 0.787849085246 0.475721271571
9.6 10 16 0.086227 0.785559412858 0.476022040958
9.7 10 16 0.087488 0.783282987947 0.476286307494
9.8 10 16 0.086685 0.781019943295 0.476513323055
9.9 10 16 0.087379 0.778770338275 0.476703631395
10 11 17 0.071962 0.776534161863 0.476859050454
10.1 12 18 0.091518 0.774311334205 0.476982600451
10.2 12 19 0.078667 0.772101712164 0.477078393056
10.3 12 20 0.094186 0.76990509362 0.477151481681
10.4 12 19 0.078464 0.767721223263 0.477207672384
10.5 12 21 0.09396 0.765549799462 0.477253322951
10.6 12 21 0.094242 0.763390479687 0.477295120069
10.7 12 21 0.079564 0.761242888164 0.477339852345
10.8 12 21 0.09479 0.759106624139 0.477394183881
10.9 12 21 0.079906 0.756981267948 0.477464444573
11 12 22 0.095404 0.754866389187 0.477556425306
11.1 12 21 0.09571 0.752761553148 0.477675210754
11.2 12 21 0.08073 0.75066632778 0.477825032451
11.3 12 21 0.081753 0.74858029103 0.478009156686
11.4 12 21 0.097437 0.746503033245 0.478229815066
11.5 12 22 0.09819 0.744434165443 0.478488160533
11.6 12 21 0.098339 0.742373322586 0.478784266939
11.7 12 21 0.098568 0.740320167162 0.479117158982
11.8 12 21 0.098917 0.738274392793 0.479484885759
11.9 12 22 0.083232 0.736235725593 0.479884611852
12 12 22 0.098959 0.734203926438 0.480312739181
12.1 12 21 0.099205 0.732178791682 0.480765046147
12.2 12 22 0.084135 0.730160153623 0.481236842354
12.3 12 26 0.100413 0.728147880636 0.481723131433
12.4 12 26 0.084664 0.726141876067 0.482218770325
12.5 12 25 0.101245 0.724142075762 0.482718626532
12.6 12 26 0.102098 0.722148449955 0.483217755146
12.7 12 26 0.08555 0.720160999169 0.483711502822
12.8 12 25 0.101459 0.718179753399 0.484195647069
12.9 12 25 0.085636 0.716204769995 0.484666489035
13 12 25 0.085852 0.714236131843 0.485120926571
13.1 12 25 0.101593 0.712273945066 0.485556508754
13.2 12 25 0.101999 0.710318337608 0.485971462708
13.3 12 25 0.10183 0.708369456106 0.48636470265
13.4 12 25 0.102146 0.706427464977 0.486735774714
13.5 12 25 0.102424 0.704492544663 0.487084861711
13.6 12 25 0.086096 0.702564890615 0.487412685992
13.7 12 25 0.102207 0.700644708457 0.487720434568
13.8 12 25 0.101964 0.698732215716 0.488009689258
13.9 12 25 0.087587 0.696827639185 0.488282320446
14 12 25 0.102992 0.694931213506 0.488540387628
14.1 12 26 0.102887 0.693043179446 0.488786042606
14.2 12 25 0.103631 0.69116378259 0.489021429514
14.3 12 26 0.08743 0.689293271004 0.489248604576
