# IRLM quench (site 0 full, site 1 empty, bath Fermi sea), method=star
# L=200 U=0.2 V=0.1 dt=0.1 tmax=100 cutoff=1e-10 max_bond_dim=1024
# t  n_active  bond_dim  wall_s  n0  n1
0 200 1 0.000283 1 0
0.1 200 3 0.294802 0.999900044986 0.0013436982254
0.2 200 3 0.389263 0.999600722782 0.00535992363546
0.3 200 4 0.50837 0.999103795821 0.0119992119799
0.4 200 4 0.564883 0.998412372672 0.0211739422119
0.5 200 4 0.58632 0.99753092576 0.0327624275673
0.6 200 4 0.601274 0.99646512391 0.0466112001941
0.7 200 5 0.614095 0.995221760883 0.0625378659021
0.8 200 5 0.626054 0.993808663331 0.0803342466821
0.9 200 5 0.630769 0.992234588157 0.0997705359972
1 200 5 0.635664 0.990509107855 0.120598978991
1.1 200 5 0.640497 0.988642489572 0.142557987462
1.2 200 6 0.647539 0.986645569092 0.165376417184
1.3 200 6 0.661206 0.984529616227 0.188779179593
1.4 200 6 0.682868 0.982306195644 0.212491419996
1.5 200 6 0.705556 0.979987033372 0.236242076129
1.6 200 6 0.721503 0.977583883941 0.259769317085
1.7 200 7 0.746433 0.975108394069 0.282824759416
1.8 200 7 0.766882 0.97257198552 0.305176755864
1.9 200 8 0.780093 0.96998573411 0.326613714683
2 200 8 0.787204 0.967360254406 0.346946937838
2.1 200 8 0.788817 0.964705612485 0.366012938084
2.2 200 9 0.810598 0.96203123481 0.383675067735
2.3 200 9 0.818954 0.959345854425 0.399824218451
2.4 200 9 0.825488 0.956657427071 0.414380758559
2.5 200 9 0.831077 0.953973105246 0.427294099423
2.6 200 9 0.837683 0.951299198531 0.43854210026
2.7 200 9 0.841825 0.948641160143 0.448130075368
2.8 200 9 0.846899 0.946003582397 0.456089239927
2.9 200 10 0.863286 0.943390212022 0.462474829703
3 200 10 0.88181 0.940803954607 0.467363649158
3.1 200 10 0.887152 0.938246920746 0.470851501763
3.2 200 10 0.888966 0.935720474861 0.473050271415
3.3 200 10 0.892226 0.933225270256 0.474084981979
3.4 200 11 0.895853 0.930761314091 0.474090471762
3.5 200 11 0.902707 0.928328033248 0.473208259033
3.6 200 11 0.907975 0.925924336115 0.47158330726
3.7 200 12 0.914908 0.923548695435 0.469361078677
3.8 200 13 0.922876 0.921199197541 0.466684501592
3.9 200 13 0.946446 0.918873630423 0.463691376918
4 200 13 0.982394 0.916569551746 0.460511994936
4.1 200 13 1.000774 0.914284359402 0.457266923826
4.2 200 13 1.013275 0.912015349151 0.454065393324
4.3 200 13 1.03061 0.909759774218 0.45100389603
4.4 200 13 1.049647 0.907514899236 0.448165254831
4.5 200 13 1.054388 0.905278053002 0.445617834504
4.6 200 14 1.069543 0.903046663392 0.44341539905
4.7 200 14 1.083306 0.900818300481 0.441597156333
4.8 200 15 1.094607 0.898590695494 0.440188226403
4.9 200 16 1.110739 0.896361776267 0.439200437479
5 200 17 1.130671 0.894129673266 0.438633234579
5.1 200 17 1.146249 0.891892722326 0.43847491781
5.2 200 17 1.156805 0.889649487306 0.438703890227
5.3 200 17 1.172309 0.887398752458 0.439290160511
5.4 200 18 1.184748 0.885139520304 0.440197047894
5.5 200 18 1.19542 0.882870998558 0.441382790623
5.6 200 18 1.201567 0.880592589838 0.442802186091
5.7 200 19 1.218182 0.878303883169 0.4444081579
5.8 200 19 1.217826 0.876004638478 0.446153276975
5.9 200 19 1.237442 0.873694763988 0.447991131023
6 200 20 1.2491 0.871374298458 0.449877576967
6.1 200 21 1.261637 0.869043403011 0.451771691037
6.2 200 21 1.271924 0.866702340944 0.453636718985
6.3 200 21 1.278156 0.864351462477 0.455440723095
6.4 200 22 1.291778 0.861991191281 0.457157026497
6.5 200 22 1.30353 0.859622013457 0.458764450321
6.6 200 22 1.30849 0.857244466261 0.460247472382
6.7 200 22 1.317038 0.85485912581 0.46159611845
6.8 200 22 1.319171 0.852466602183 0.462805666467
6.9 200 22 1.322494 0.850067532595 0.463876262468
7 200 22 1.331431 0.847662575367 0.464812411669
7.1 200 23 1.347555 0.845252415052 0.465622335159
7.2 200 24 1.36594 0.842837743892 0.466317326326
7.3 200 24 1.384536 0.840419270051 0.466911027247
7.4 200 25 1.396111 0.837997721761 0.467418659676
7.5 200 26 1.411247 0.835573842862 0.467856341901
7.6 200 26 1.426947 0.833148390594 0.468240386279
7.7 200 26 1.44805 0.830722137077 0.468586663512
7.8 200 27 1.459443 0.828295870275 0.468910048129
7.9 200 27 1.468127 0.825870392224 0.469223929008
8 200 27 1.487944 0.823446521239 0.469539826643
8.1 200 28 1.512336 0.821025077529 0.469867108274
8.2 200 29 1.528263 0.818606895673 0.470212801563
8.3 200 30 1.539981 0.81619281236 0.470581498378
8.4 200 30 1.548304 0.813783660774 0.470975408334
8.5 200 30 1.556629 0.811380267682 0.471394472493
8.6 200 31 1.563213 0.808983446512 0.471836546357
8.7 200 31 1.575574 0.806593991487 0.472297696543
8.8 200 31 1.588849 0.80421266886 0.472772613875
8.9 200 31 1.598919 0.801840217224 0.473254709345
9 200 31 1.602175 0.799477332879 0.473736570421
9.1 200 31 1.609012 0.79712466493 0.474210377724
9.2 200 32 1.622859 0.794782811238 0.474668295734
9.3 200 32 1.634633 0.79245230963 0.47510284345
9.4 200 32 1.647717 0.790133637264 0.475507223278
9.5 200 33 1.662656 0.78782719812 0.475875614599
9.6 200 33 1.670389 0.785533327881 0.476203415825
9.7 200 34 1.682807 0.78325228026 0.476487497799
9.8 200 34 1.701396 0.780984259719 0.476726470372
9.9 200 35 1.723878 0.778729362833 0.476920319056
10 200 35 1.73259 0.776487637269 0.477070622674
10.1 200 35 1.745733 0.774259053668 0.477180371329
10.2 200 35 1.763667 0.772043519501 0.477253931009
10.3 200 36 1.777457 0.769840877328 0.47729687284
10.4 200 36 1.789212 0.767650913069 0.477315768913
10.5 200 36 1.799785 0.76547336372 0.47731796853
10.6 200 37 1.808005 0.763307921839 0.477311337942
10.7 200 37 1.811708 0.761154243786 0.477303992929
10.8 200 37 1.820299 0.759011957419 0.477304024113
10.9 200 37 1.831108 0.756880671603 0.477319238193
11 200 37 1.845878 0.75475997565 0.477356913545
11.1 200 37 1.85108 0.75264945399 0.477423576055
11.2 200 38 1.870107 0.750548694126 0.477524808005
11.3 200 39 1.883941 0.748457287283 0.477665103427
11.4 200 39 1.901775 0.746374837328 0.477847749602
11.5 200 39 1.912147 0.744300965809 0.478074757022
11.6 200 40 1.9207 0.742235320445 0.478346837507
11.7 200 41 1.940233 0.740177570786 0.478663414925
11.8 200 41 2.054255 0.738127416071 0.479022705343
11.9 200 42 2.126816 0.736084587173 0.479421813509
12 200 42 2.174668 0.734048852707 0.479856843831
12.1 200 42 2.252007 0.732020006444 0.480323083234
12.2 200 42 2.293171 0.729997881641 0.480815153935
12.3 200 43 2.326636 0.727982341725 0.481327204898
12.4 200 43 2.411284 0.725973279772 0.481853134294
12.5 200 43 2.461638 0.723970631014 0.482386778586
12.6 200 43 2.51071 0.721974357242 0.482922096872
12.7 200 43 2.500274 0.71998444728 0.483453347538
12.8 200 43 2.526646 0.718000915199 0.483975243979
12.9 200 44 2.576546 0.716023802727 0.484483081346
13 200 45 2.599458 0.714053173948 0.484972844801
13.1 200 45 2.651302 0.712089112137 0.485441273551
13.2 200 45 2.758101 0.710131718899 0.485885890043
13.3 200 45 2.797475 0.708181112216 0.486305067263
13.4 200 46 2.805606 0.706237428444 0.486698041057
13.5 200 46 3.024895 0.704300814896 0.487064835595
13.6 200 47 2.808991 0.702371430715 0.487406198998
13.7 200 47 2.836925 0.700449449221 0.487723509766
13.8 200 47 2.820431 0.698535053749 0.488018678563
13.9 200 48 3.180119 0.696628436014 0.488294034576
14 200 49 2.976886 0.694729793983 0.488552201985
