# SIAM quench evolution, spin-symmetric FBR
# n0(t=0)=1  E_gs(ref)=-30.8994525853
# t  n_active  bond_dim  wall_s  n0  energy
0 2 1 0.002455 1 -1000
0.1 4 2 0.088682 0.999947970058 -4.66360172789e-12
0.2 4 2 0.095409 0.999792020464 -8.48275459687e-05
0.3 4 2 0.09458 0.999532572461 -0.000254147156725
0.4 4 2 0.057802 0.999170325469 -0.000507289460527
0.5 4 2 0.057799 0.998706253115 -0.00084325517272
0.6 4 2 0.057736 0.998141597728 -0.00126072080069
0.7 4 2 0.094305 0.997477863345 -0.00175804618433
0.8 4 2 0.062664 0.996716807266 -0.00233328382588
0.9 4 2 0.057692 0.995860430249 -0.00298418994632
1 4 2 0.094159 0.994910965412 -0.00370823719388
1.1 4 2 0.057676 0.993870865923 -0.00450262891956
1.2 4 2 0.094187 0.992742791597 -0.00536431492368
1.3 4 2 0.057674 0.991529594287 -0.00629000860955
1.4 4 2 0.058605 0.990234302875 -0.00727620529167
1.5 4 2 0.094517 0.98886010742 -0.00831920163344
1.6 4 2 0.094904 0.987410341946 -0.00941511620831
1.7 4 2 0.094419 0.985888467366 -0.0105599108501
1.8 4 2 0.094711 0.984298053809 -0.0117494127363
1.9 4 2 0.094946 0.982642762684 -0.0129793370509
2 4 2 0.094767 0.980926328578 -0.014245310078
2.1 4 2 0.097457 0.979152541124 -0.0155428925779
2.2 4 2 0.094063 0.977325226966 -0.0168676032939
2.3 4 2 0.057389 0.975448231913 -0.0182149424396
2.4 4 2 0.094516 0.973525403424 -0.0195804150167
2.5 4 2 0.057645 0.971560573504 -0.0209595538173
2.6 4 2 0.093914 0.96955754213 -0.0223479419657
2.7 4 2 0.057631 0.967520061284 -0.0237412348615
2.8 4 2 0.057918 0.96545181969 -0.0251351813897
2.9 4 2 0.095017 0.963356428327 -0.0265256442698
3 4 2 0.09478 0.961237406788 -0.0279086194242
3.1 4 2 0.057609 0.959098170545 -0.0292802542526
3.2 4 2 0.057501 0.956942019177 -0.03063686471
3.3 4 2 0.057519 0.954772125598 -0.0319749510916
3.4 6 3 0.09762 0.952591525845 -0.0332912123858
3.5 6 3 0.0989 0.950403110992 -0.0345825602517
3.6 6 3 0.098455 0.948209619612 -0.0358461289124
3.7 6 3 0.099131 0.946013631117 -0.037079285671
3.8 6 3 0.098655 0.943817560386 -0.0382796391907
3.9 6 3 0.100461 0.941623653467 -0.0394450461466
4 6 3 0.103466 0.939433984382 -0.0405736162126
