time m <n0> <cd>  nActive
0.1 4 0.999900056266 0.00134960944125 8
0.2 4 0.999600898996 0.00538128732326 8
0.3 4 0.999104541418 0.0120438838551 8
0.4 4 0.998414310407 0.0212531482427 8
0.5 4 0.997534804261 0.0328932049162 8
0.6 4 0.996471834534 0.0468185767336 8
0.7 4 0.995232352966 0.0628567131615 8
0.8 4 0.993824364628 0.0808109702837 8
0.9 4 0.992256828884 0.100463981628 8
1 4 0.990539549609 0.121581349903 8
1.1 4 0.988683056668 0.143915583791 8
1.2 4 0.986698479972 0.167210202588 8
1.3 4 0.984597419118 0.191203921504 8
1.4 4 0.982391809734 0.215634839102 8
1.5 5 0.980093789015 0.240244543036 10
1.6 5 0.977715562002 0.264782056476 10
1.7 6 0.975269272195 0.289007548247 10
1.8 6 0.972766875176 0.312695744561 10
1.9 6 0.97022002032 0.335638977192 10
2 6 0.967639940165 0.357649819842 10
2.1 7 0.965037351365 0.378563270187 12
2.2 7 0.962422358804 0.398238451823 12
2.3 7 0.959804382595 0.416559807933 12
2.4 8 0.957192089977 0.4334377876 12
2.5 8 0.954593345334 0.448809022923 12
2.6 8 0.952015161974 0.462636016858 12
2.7 8 0.949463682602 0.474906355844 12
2.8 8 0.946944163537 0.485631491086 14
2.9 8 0.944460972828 0.494845126169 12
3 8 0.942017600194 0.502601261151 12
3.1 8 0.939616683857 0.508971943445 12
3.2 8 0.937260028681 0.51404480885 12
3.3 8 0.934948662324 0.517920418633 12
3.4 8 0.932682877241 0.520709532488 14
3.5 8 0.930462284176 0.522530316361 14
3.6 8 0.928285881899 0.523505572719 12
3.7 8 0.926152111317 0.523760080598 14
3.8 8 0.924058930001 0.523418019428 12
3.9 8 0.922003883267 0.522600604802 12
4 8 0.919984167875 0.521423951892 12
4.1 8 0.917996703092 0.519997183966 12
4.2 9 0.916038201935 0.518420824123 12
4.3 9 0.914105233462 0.516785500244 12
4.4 9 0.912194283846 0.515170960506 16
4.5 10 0.910301815391 0.513645405083 16
4.6 10 0.908424315928 0.512265134808 16
4.7 11 0.90655834729 0.511074492091 16
4.8 11 0.904700587656 0.510106088267 16
4.9 11 0.902847868 0.509381285165 16
5 11 0.900997202283 0.508910903692 16
5.1 12 0.899145812662 0.508696125363 16
5.2 12 0.897291149154 0.508729550104 16
5.3 13 0.895430904639 0.508996373771 16
5.4 13 0.893563024282 0.509475645921 16
5.5 13 0.891685711176 0.510141568738 16
5.6 13 0.889797427465 0.51096480137 16
5.7 13 0.887896892332 0.511913735908 16
5.8 12 0.885983076843 0.512955711265 16
5.9 12 0.884055196586 0.514058138823 16
6 12 0.882112700113 0.515189516934 16
6.1 12 0.880155259459 0.51632031412 16
6.2 12 0.878182753569 0.51742370694 16
6.3 12 0.876195258061 0.518476165107 16
6.4 12 0.874193028563 0.51945788076 16
6.5 12 0.872176486094 0.520353039394 16
6.6 12 0.87014620178 0.521149940581 16
6.7 12 0.86810288374 0.521840976541 18
6.8 12 0.86604735607 0.522422481379 18
6.9 12 0.863980550899 0.52289446704 20
7 12 0.861903491504 0.523260263559 20
7.1 12 0.859817279372 0.523526083245 20
7.2 12 0.857723081073 0.52370052846 16
7.3 13 0.855622114225 0.523794065241 16
