21:26:24: Starting /home/yurielnf/Documents/projects/impurityMPS/build/Desktop-Release/example/fbr_dyn_siam_center...
time m <n0> <cd>  nActive
0.1 4 0.999900056266 0.0013496094405 8
0.2 4 0.999600898998 0.00538128731811 8
0.3 4 0.999104541422 0.0120438838387 8
0.4 4 0.998414310418 0.0212531482052 8
0.5 4 0.997534804282 0.0328932048462 8
0.6 4 0.996471834569 0.0468185766154 8
0.7 4 0.99523235302 0.0628567129777 8
0.8 4 0.993824364707 0.0808109700139 8
0.9 4 0.992256828994 0.10046398125 8
1 4 0.990539549758 0.121581349392 8
1.1 4 0.988683056849 0.143915583132 8
1.2 4 0.986698480188 0.167210201765 8
1.3 4 0.984597419371 0.191203920503 8
1.4 4 0.982391810027 0.21563483791 8
1.5 5 0.980093789351 0.240244541644 10
1.6 5 0.977715562383 0.264782054878 10
1.7 6 0.975269272625 0.289007546438 10
1.8 6 0.972766875656 0.312695742541 10
1.9 6 0.970220020852 0.33563897496 10
2 6 0.96763994075 0.357649817401 10
2.1 7 0.965037352005 0.378563267543 12
2.2 7 0.962422359503 0.398238448983 12
2.3 7 0.959804383351 0.416559804908 12
2.4 8 0.957192090794 0.433437784405 12
2.5 8 0.954593346214 0.448809019567 12
2.6 8 0.952015162945 0.462636013421 12
2.7 8 0.949463683665 0.474906352371 12
2.8 8 0.946944164687 0.485631487611 14
2.9 8 0.944460974031 0.494845122756 12
3 8 0.942017601453 0.502601257811 12
3.1 8 0.939616685172 0.508971940169 12
3.2 8 0.937260030002 0.514044805671 12
3.3 8 0.934948663476 0.517920415598 12
3.4 8 0.932682877355 0.520709529767 14
3.5 8 0.93046228336 0.522530313826 14
3.6 8 0.928285880245 0.523505570351 12
3.7 8 0.926152108615 0.52376007841 14
3.8 8 0.924058926187 0.523418017407 12
3.9 8 0.922003876956 0.522600605094 12
4 8 0.919984162182 0.521423951013 12
4.1 8 0.917996785262 0.519997113607 12
4.2 9 0.916038379408 0.518420703186 12
4.3 9 0.914105509914 0.516785348101 12
4.4 10 0.912194662277 0.515170793797 16
4.5 10 0.910302296518 0.513645239354 16
4.6 10 0.908424878142 0.512264994667 16
4.7 11 0.906558993398 0.511074378867 16
4.8 11 0.904701320192 0.510106002659 16
