time m <n0> <cd>  nActive
0.1 4 0.999900056266 0.00134960944125 8
0.2 4 0.999600898996 0.00538128732326 8
0.3 4 0.999104541418 0.0120438838551 8
0.4 4 0.998414310407 0.0212531482427 8
0.5 4 0.997534804261 0.0328932049162 8
0.6 4 0.996471834534 0.0468185767336 8
0.7 4 0.995232352966 0.0628567131615 8
0.8 4 0.993824364628 0.0808109702837 8
0.9 4 0.992256828884 0.100463981628 8
1 4 0.990539549609 0.121581349903 8
1.1 4 0.988683056668 0.143915583791 8
1.2 4 0.986698479972 0.167210202588 8
1.3 4 0.984597419118 0.191203921504 8
1.4 4 0.982391809734 0.215634839102 8
1.5 5 0.980093789015 0.240244543036 10
1.6 5 0.977715562002 0.264782056477 10
1.7 6 0.975269272195 0.289007548247 10
1.8 6 0.972766875176 0.312695744561 10
1.9 6 0.97022002032 0.335638977192 10
2 6 0.967639940165 0.357649819842 10
2.1 7 0.965037351365 0.378563270187 12
2.2 7 0.962422358804 0.398238451823 12
2.3 7 0.959804382594 0.416559807933 12
2.4 8 0.957192089976 0.4334377876 12
2.5 8 0.954593345333 0.448809022923 12
2.6 8 0.952015161973 0.462636016857 12
2.7 8 0.949463682601 0.474906355842 12
2.8 8 0.946944163537 0.485631491083 14
2.9 8 0.944460972829 0.494845126164 12
3 8 0.942017600195 0.502601261145 12
3.1 8 0.939616683859 0.508971943437 12
3.2 8 0.937260028684 0.51404480884 12
3.3 8 0.934948662329 0.51792041862 12
3.4 8 0.932682877247 0.520709532472 14
3.5 8 0.930462284184 0.522530316342 14
3.6 8 0.928285881908 0.523505572697 12
3.7 8 0.926152111329 0.523760080573 14
3.8 8 0.924058930015 0.523418019399 12
3.9 8 0.922003883284 0.52260060477 12
4 8 0.919984167895 0.521423951857 12
4.1 8 0.917996703115 0.519997183927 12
4.2 9 0.916038201961 0.518420824081 12
4.3 9 0.914105233492 0.516785500199 12
4.4 9 0.912194283879 0.515170960459 16
4.5 10 0.910301815428 0.513645405033 16
4.6 10 0.908424315968 0.512265134757 16
4.7 11 0.906558347278 0.511074492079 16
4.8 11 0.904700587629 0.51010608829 16
4.9 11 0.902847867975 0.509381285225 16
5 11 0.900997202262 0.50891090378 16
5.1 12 0.899145812647 0.508696125468 16
5.2 12 0.897291149148 0.508729550212 16
5.3 12 0.89543090464 0.508996373873 16
5.4 12 0.893563024297 0.509475645915 16
5.5 12 0.891685711242 0.510141568475 16
5.6 12 0.889797427575 0.510964801147 16
5.7 12 0.887896892498 0.511913735979 16
5.8 12 0.885983077211 0.512955711788 16
5.9 12 0.884055197009 0.514058140033 16
6 12 0.882112700596 0.515189519042 16
6.1 12 0.880155260003 0.516320317329 16
6.2 12 0.878182754011 0.517423710989 16
6.3 12 0.876195258572 0.518476170614 16
6.4 12 0.874193029109 0.519457887889 16
6.5 12 0.872176486666 0.520353048281 16
6.6 12 0.870146202373 0.521149951338 16
6.7 12 0.868102884374 0.521840989222 18
6.8 12 0.866047356737 0.522422495995 18
6.9 12 0.863980551494 0.522894483547 20
7 12 0.861903492107 0.523260281876 20
7.1 12 0.859817279965 0.523526103239 20
7.2 12 0.857723081599 0.523700550066 16
7.3 12 0.855622114554 0.523794088392 16
