star vs chain reference comparison
==================================
max_i |ni_star - ni_chain|  and  max_ij |cc_star - cc_chain|,  per snapshot.

U=0.2
  snapshot      max|dni|    max|dcc|
  initial       6.08e-09    7.16e-06
  t=0.1         2.44e-06    3.10e-05
  t=5.0         3.47e-05    3.47e-05
  t=10.0        2.38e-05    3.14e-05
  t=20.0        4.39e-04    1.10e-03

U=0.1
  snapshot      max|dni|    max|dcc|
  initial       6.08e-09    7.16e-06
  t=0.1         2.44e-06    3.10e-05
  t=5.0         3.42e-05    3.42e-05
  t=10.0        2.20e-05    3.21e-05
  t=20.0        2.08e-05    3.48e-05
